Código región,Región,Código provincia,Provincia,Codigo comuna,Comuna,País o continente de nacimiento,Inmigrantes internacionales
0,País,0,País,0,País,Total nacidos fuera del país,1.608.650
0,País,0,País,0,País,Argentina,70.266
0,País,0,País,0,País,Bolivia (Estado Plurinacional de),168.083
0,País,0,País,0,País,Colombia,197.813
0,País,0,País,0,País,Haití,80.781
0,País,0,País,0,País,Perú,233.432
0,País,0,País,0,País,Venezuela (República Bolivariana de),669.408
0,País,0,País,0,País,Otros países de América del Sur,78.860
0,País,0,País,0,País,Otros países de América Central y El Caribe,40.559
0,País,0,País,0,País,América del Norte,11.329
0,País,0,País,0,País,Europa,33.563
0,País,0,País,0,País,Asia,20.047
0,País,0,País,0,País,África,1.580
0,País,0,País,0,País,Oceanía,1.477
0,País,0,País,0,País,País de nacimiento no declarado,1.452
15,Arica y Parinacota,151,Arica,15101,Arica,Total nacidos fuera del país,35.592
15,Arica y Parinacota,151,Arica,15101,Arica,Argentina,341
15,Arica y Parinacota,151,Arica,15101,Arica,Bolivia (Estado Plurinacional de),13.677
15,Arica y Parinacota,151,Arica,15101,Arica,Colombia,1.968
15,Arica y Parinacota,151,Arica,15101,Arica,Haití,*
15,Arica y Parinacota,151,Arica,15101,Arica,Perú,11.206
15,Arica y Parinacota,151,Arica,15101,Arica,Venezuela (República Bolivariana de),6.597
15,Arica y Parinacota,151,Arica,15101,Arica,Otros países de América del Sur,897
15,Arica y Parinacota,151,Arica,15101,Arica,Otros países de América Central y El Caribe,467
15,Arica y Parinacota,151,Arica,15101,Arica,América del Norte,67
15,Arica y Parinacota,151,Arica,15101,Arica,Europa,236
15,Arica y Parinacota,151,Arica,15101,Arica,Asia,80
15,Arica y Parinacota,151,Arica,15101,Arica,África,*
15,Arica y Parinacota,151,Arica,15101,Arica,Oceanía,*
15,Arica y Parinacota,151,Arica,15101,Arica,País de nacimiento no declarado,15
15,Arica y Parinacota,151,Arica,15102,Camarones,Total nacidos fuera del país,101
15,Arica y Parinacota,151,Arica,15102,Camarones,Argentina,0
15,Arica y Parinacota,151,Arica,15102,Camarones,Bolivia (Estado Plurinacional de),70
15,Arica y Parinacota,151,Arica,15102,Camarones,Colombia,*
15,Arica y Parinacota,151,Arica,15102,Camarones,Haití,0
15,Arica y Parinacota,151,Arica,15102,Camarones,Perú,*
15,Arica y Parinacota,151,Arica,15102,Camarones,Venezuela (República Bolivariana de),*
15,Arica y Parinacota,151,Arica,15102,Camarones,Otros países de América del Sur,0
15,Arica y Parinacota,151,Arica,15102,Camarones,Otros países de América Central y El Caribe,*
15,Arica y Parinacota,151,Arica,15102,Camarones,América del Norte,*
15,Arica y Parinacota,151,Arica,15102,Camarones,Europa,0
15,Arica y Parinacota,151,Arica,15102,Camarones,Asia,0
15,Arica y Parinacota,151,Arica,15102,Camarones,África,0
15,Arica y Parinacota,151,Arica,15102,Camarones,Oceanía,0
15,Arica y Parinacota,151,Arica,15102,Camarones,País de nacimiento no declarado,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Total nacidos fuera del país,362
15,Arica y Parinacota,152,Parinacota,15201,Putre,Argentina,*
15,Arica y Parinacota,152,Parinacota,15201,Putre,Bolivia (Estado Plurinacional de),307
15,Arica y Parinacota,152,Parinacota,15201,Putre,Colombia,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Haití,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Perú,*
15,Arica y Parinacota,152,Parinacota,15201,Putre,Venezuela (República Bolivariana de),*
15,Arica y Parinacota,152,Parinacota,15201,Putre,Otros países de América del Sur,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Otros países de América Central y El Caribe,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,América del Norte,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Europa,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Asia,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,África,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,Oceanía,*
15,Arica y Parinacota,152,Parinacota,15201,Putre,País de nacimiento no declarado,1
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Total nacidos fuera del país,133
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Argentina,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Bolivia (Estado Plurinacional de),111
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Colombia,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Haití,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Perú,*
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Venezuela (República Bolivariana de),0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Otros países de América del Sur,*
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Otros países de América Central y El Caribe,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,América del Norte,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Europa,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Asia,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,África,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,Oceanía,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,País de nacimiento no declarado,0
1,Tarapacá,11,Iquique,1101,Iquique,Total nacidos fuera del país,40.655
1,Tarapacá,11,Iquique,1101,Iquique,Argentina,580
1,Tarapacá,11,Iquique,1101,Iquique,Bolivia (Estado Plurinacional de),17.474
1,Tarapacá,11,Iquique,1101,Iquique,Colombia,2.903
1,Tarapacá,11,Iquique,1101,Iquique,Haití,106
1,Tarapacá,11,Iquique,1101,Iquique,Perú,7.642
1,Tarapacá,11,Iquique,1101,Iquique,Venezuela (República Bolivariana de),6.977
1,Tarapacá,11,Iquique,1101,Iquique,Otros países de América del Sur,1.833
1,Tarapacá,11,Iquique,1101,Iquique,Otros países de América Central y El Caribe,892
1,Tarapacá,11,Iquique,1101,Iquique,América del Norte,80
1,Tarapacá,11,Iquique,1101,Iquique,Europa,237
1,Tarapacá,11,Iquique,1101,Iquique,Asia,1.840
1,Tarapacá,11,Iquique,1101,Iquique,África,*
1,Tarapacá,11,Iquique,1101,Iquique,Oceanía,*
1,Tarapacá,11,Iquique,1101,Iquique,País de nacimiento no declarado,53
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Total nacidos fuera del país,37.628
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Argentina,330
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Bolivia (Estado Plurinacional de),20.614
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Colombia,3.150
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Haití,128
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Perú,7.453
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Venezuela (República Bolivariana de),3.728
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Otros países de América del Sur,1.549
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Otros países de América Central y El Caribe,477
1,Tarapacá,11,Iquique,1107,Alto Hospicio,América del Norte,*
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Europa,64
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Asia,95
1,Tarapacá,11,Iquique,1107,Alto Hospicio,África,*
1,Tarapacá,11,Iquique,1107,Alto Hospicio,Oceanía,*
1,Tarapacá,11,Iquique,1107,Alto Hospicio,País de nacimiento no declarado,7
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Total nacidos fuera del país,3.695
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Argentina,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Bolivia (Estado Plurinacional de),2.618
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Colombia,165
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Haití,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Perú,407
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Venezuela (República Bolivariana de),355
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Otros países de América del Sur,89
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Otros países de América Central y El Caribe,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,América del Norte,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Europa,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Asia,*
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,África,0
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,Oceanía,0
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,País de nacimiento no declarado,1
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Total nacidos fuera del país,245
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Argentina,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Bolivia (Estado Plurinacional de),231
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Colombia,*
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Haití,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Perú,*
1,Tarapacá,14,Del Tamarugal,1402,Camiña,Venezuela (República Bolivariana de),*
