Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Años de escolaridad promedio,Años de escolaridad promedio para la población de 18 años o más
0,País,0,País,0,País,"11,5","12,9"
15,Arica y Parinacota,151,Arica,15101,Arica,"10,0","11,2"
15,Arica y Parinacota,151,Arica,15102,Camarones,"8,9","9,4"
15,Arica y Parinacota,152,Parinacota,15201,Putre,"8,9","9,6"
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,"6,8","8,4"
1,Tarapacá,11,Iquique,1101,Iquique,"10,8","12,1"
1,Tarapacá,11,Iquique,1107,Alto Hospicio,"9,6","10,9"
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,"9,5","10,7"
1,Tarapacá,14,Del Tamarugal,1402,Camiña,"7,5","9,1"
1,Tarapacá,14,Del Tamarugal,1403,Colchane,"7,8","9,5"
1,Tarapacá,14,Del Tamarugal,1404,Huara,"8,2","9,6"
1,Tarapacá,14,Del Tamarugal,1405,Pica,"9,4","10,7"
2,Antofagasta,21,Antofagasta,2101,Antofagasta,"10,6","11,8"
2,Antofagasta,21,Antofagasta,2102,Mejillones,"9,7","11,1"
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,"9,7","11,3"
2,Antofagasta,21,Antofagasta,2104,Taltal,"9,4","10,8"
2,Antofagasta,22,El Loa,2201,Calama,"10,4","11,7"
2,Antofagasta,22,El Loa,2202,Ollagüe,"7,7","8,0"
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,"10,3","11,6"
2,Antofagasta,23,Tocopilla,2301,Tocopilla,"9,8","11,1"
2,Antofagasta,23,Tocopilla,2302,María Elena,"10,1","11,7"
3,Atacama,31,Copiapó,3101,Copiapó,"10,3","11,8"
3,Atacama,31,Copiapó,3102,Caldera,"10,8","12,2"
3,Atacama,31,Copiapó,3103,Tierra Amarilla,"9,5","11,0"
3,Atacama,32,Chañaral,3201,Chañaral,"9,8","11,6"
3,Atacama,32,Chañaral,3202,Diego de Almagro,"10,1","11,6"
3,Atacama,33,Huasco,3301,Vallenar,"10,3","12,1"
3,Atacama,33,Huasco,3302,Alto del Carmen,"9,5","10,7"
3,Atacama,33,Huasco,3303,Freirina,"11,4","13,1"
3,Atacama,33,Huasco,3304,Huasco,"10,5","12,0"
4,Coquimbo,41,Elqui,4101,La Serena,"11,7","13,3"
4,Coquimbo,41,Elqui,4102,Coquimbo,"10,9","12,5"
4,Coquimbo,41,Elqui,4103,Andacollo,"10,7","12,1"
4,Coquimbo,41,Elqui,4104,La Higuera,"9,5","11,0"
4,Coquimbo,41,Elqui,4105,Paiguano,"11,3","13,0"
4,Coquimbo,41,Elqui,4106,Vicuña,"9,9","11,7"
4,Coquimbo,42,Choapa,4201,Illapel,"11,2","13,2"
4,Coquimbo,42,Choapa,4202,Canela,"10,9","12,5"
4,Coquimbo,42,Choapa,4203,Los Vilos,"10,4","12,3"
4,Coquimbo,42,Choapa,4204,Salamanca,"10,3","12,0"
4,Coquimbo,43,Limarí,4301,Ovalle,"10,6","12,0"
4,Coquimbo,43,Limarí,4302,Combarbalá,"11,2","13,0"
4,Coquimbo,43,Limarí,4303,Monte Patria,"10,1","11,3"
4,Coquimbo,43,Limarí,4304,Punitaqui,"9,7","11,8"
4,Coquimbo,43,Limarí,4305,Río Hurtado,"11,3","11,6"
5,Valparaíso,51,Valparaíso,5101,Valparaíso,"11,7","13,4"
5,Valparaíso,51,Valparaíso,5102,Casablanca,"10,7","12,5"
5,Valparaíso,51,Valparaíso,5103,Concón,"12,9","14,5"
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,"13,4","14,1"
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,"11,1","12,5"
5,Valparaíso,51,Valparaíso,5107,Quintero,"10,9","12,3"
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,"12,3","13,9"
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,"12,5","13,5"
5,Valparaíso,53,Los Andes,5301,Los Andes,"11,2","12,7"
5,Valparaíso,53,Los Andes,5302,Calle Larga,"11,3","12,7"
5,Valparaíso,53,Los Andes,5303,Rinconada,"11,2","13,0"
5,Valparaíso,53,Los Andes,5304,San Esteban,"11,0","12,5"
5,Valparaíso,54,Petorca,5401,La Ligua,"10,7","12,2"
5,Valparaíso,54,Petorca,5402,Cabildo,"10,4","12,2"
5,Valparaíso,54,Petorca,5403,Papudo,"10,7","12,7"
5,Valparaíso,54,Petorca,5404,Petorca,"9,6","11,0"
5,Valparaíso,54,Petorca,5405,Zapallar,"11,9","13,4"
5,Valparaíso,55,Quillota,5501,Quillota,"11,0","12,8"
5,Valparaíso,55,Quillota,5502,Calera,"10,5","12,1"
5,Valparaíso,55,Quillota,5503,Hijuelas,"10,2","11,9"
5,Valparaíso,55,Quillota,5504,La Cruz,"11,9","13,5"
5,Valparaíso,55,Quillota,5506,Nogales,"10,3","11,8"
5,Valparaíso,56,San Antonio,5601,San Antonio,"10,5","12,0"
5,Valparaíso,56,San Antonio,5602,Algarrobo,"12,7","13,9"
5,Valparaíso,56,San Antonio,5603,Cartagena,"10,4","12,1"
5,Valparaíso,56,San Antonio,5604,El Quisco,"10,8","12,7"
5,Valparaíso,56,San Antonio,5605,El Tabo,"10,8","12,5"
5,Valparaíso,56,San Antonio,5606,Santo Domingo,"13,0","14,6"
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,"10,2","11,3"
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,"9,9","10,9"
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,"9,5","11,0"
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,"11,5","12,5"
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,"10,8","12,2"
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,"9,9","11,5"
5,Valparaíso,58,Marga Marga,5801,Quilpué,"11,9","13,6"
5,Valparaíso,58,Marga Marga,5802,Limache,"11,5","12,7"
5,Valparaíso,58,Marga Marga,5803,Olmué,"12,1","13,6"
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,"12,2","13,7"
13,Metropolitana de Santiago,131,Santiago,13101,Santiago,"12,5","13,6"
13,Metropolitana de Santiago,131,Santiago,13102,Cerrillos,"10,4","11,5"
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,"10,4","11,7"
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,"10,9","12,1"
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,"10,6","12,1"
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,"11,4","12,9"
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,"12,7","14,1"
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,"11,5","12,8"
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,"11,7","13,4"
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,"12,4","13,8"
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,"10,7","12,1"
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,"10,2","11,5"
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,"13,9","15,2"
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,"14,8","15,9"
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,"13,1","14,9"
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,"10,1","11,3"
