Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
0,País,0,País,0,País,6.408.172,6.018.851,330.955,57.332,1.034
15,Arica y Parinacota,151,Arica,15101,Arica,74.708,68.716,5.228,760,4
15,Arica y Parinacota,151,Arica,15102,Camarones,427,388,33,6,0
15,Arica y Parinacota,152,Parinacota,15201,Putre,583,493,70,20,0
15,Arica y Parinacota,152,Parinacota,15202,General Lagos,217,155,38,24,0
1,Tarapacá,11,Iquique,1101,Iquique,66.444,60.398,4.727,1.314,5
1,Tarapacá,11,Iquique,1107,Alto Hospicio,40.506,35.119,4.727,658,2
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,5.398,4.684,558,156,0
1,Tarapacá,14,Del Tamarugal,1402,Camiña,479,398,64,17,0
1,Tarapacá,14,Del Tamarugal,1403,Colchane,241,185,43,13,0
1,Tarapacá,14,Del Tamarugal,1404,Huara,1.009,862,116,31,0
1,Tarapacá,14,Del Tamarugal,1405,Pica,2.025,1.797,203,25,0
2,Antofagasta,21,Antofagasta,2101,Antofagasta,126.861,118.015,7.520,1.312,14
2,Antofagasta,21,Antofagasta,2102,Mejillones,4.358,3.975,320,63,0
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,446,382,49,13,2
2,Antofagasta,21,Antofagasta,2104,Taltal,3.987,3.718,240,28,1
2,Antofagasta,22,El Loa,2201,Calama,52.533,47.459,4.264,802,8
2,Antofagasta,22,El Loa,2202,Ollagüe,89,80,7,2,0
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3.690,3.118,402,168,2
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8.517,8.020,446,50,1
2,Antofagasta,23,Tocopilla,2302,María Elena,1.584,1.326,242,16,0
3,Atacama,31,Copiapó,3101,Copiapó,54.970,51.685,2.950,328,7
3,Atacama,31,Copiapó,3102,Caldera,6.775,6.440,299,35,1
3,Atacama,31,Copiapó,3103,Tierra Amarilla,3.717,3.415,263,39,0
3,Atacama,32,Chañaral,3201,Chañaral,4.299,4.061,220,18,0
3,Atacama,32,Chañaral,3202,Diego de Almagro,4.089,3.866,184,38,1
3,Atacama,33,Huasco,3301,Vallenar,18.050,17.002,959,87,2
3,Atacama,33,Huasco,3302,Alto del Carmen,1.885,1.799,76,10,0
3,Atacama,33,Huasco,3303,Freirina,2.679,2.528,141,10,0
3,Atacama,33,Huasco,3304,Huasco,3.397,3.212,171,14,0
4,Coquimbo,41,Elqui,4101,La Serena,84.117,80.713,3.049,345,10
4,Coquimbo,41,Elqui,4102,Coquimbo,87.438,83.072,3.939,418,9
4,Coquimbo,41,Elqui,4103,Andacollo,3.999,3.837,145,17,0
4,Coquimbo,41,Elqui,4104,La Higuera,1.605,1.507,85,12,1
4,Coquimbo,41,Elqui,4105,Paiguano,1.827,1.729,84,14,0
4,Coquimbo,41,Elqui,4106,Vicuña,9.592,9.095,444,52,1
4,Coquimbo,42,Choapa,4201,Illapel,11.337,10.806,489,40,2
4,Coquimbo,42,Choapa,4202,Canela,3.748,3.605,137,6,0
4,Coquimbo,42,Choapa,4203,Los Vilos,8.297,7.823,420,53,1
4,Coquimbo,42,Choapa,4204,Salamanca,9.810,9.359,410,39,2
4,Coquimbo,43,Limarí,4301,Ovalle,41.151,39.196,1.785,167,3
4,Coquimbo,43,Limarí,4302,Combarbalá,5.201,4.975,199,27,0
4,Coquimbo,43,Limarí,4303,Monte Patria,10.814,10.133,622,57,2
4,Coquimbo,43,Limarí,4304,Punitaqui,4.361,4.139,204,18,0
4,Coquimbo,43,Limarí,4305,Río Hurtado,1.850,1.761,76,13,0
5,Valparaíso,51,Valparaíso,5101,Valparaíso,105.699,100.350,4.322,1.011,16
5,Valparaíso,51,Valparaíso,5102,Casablanca,10.393,9.882,456,55,0
5,Valparaíso,51,Valparaíso,5103,Concón,17.886,17.240,545,95,6
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,371,335,29,7,0
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8.346,7.964,343,39,0
5,Valparaíso,51,Valparaíso,5107,Quintero,12.668,11.888,693,84,3
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,128.389,122.156,4.732,1.482,19
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2.067,1.921,122,24,0
5,Valparaíso,53,Los Andes,5301,Los Andes,22.682,21.696,894,92,0
5,Valparaíso,53,Los Andes,5302,Calle Larga,5.633,5.337,278,18,0
5,Valparaíso,53,Los Andes,5303,Rinconada,3.948,3.743,189,16,0
5,Valparaíso,53,Los Andes,5304,San Esteban,7.007,6.672,314,20,1
5,Valparaíso,54,Petorca,5401,La Ligua,13.984,13.312,615,56,1
5,Valparaíso,54,Petorca,5402,Cabildo,6.619,6.294,296,28,1
5,Valparaíso,54,Petorca,5403,Papudo,2.652,2.496,141,15,0
5,Valparaíso,54,Petorca,5404,Petorca,3.782,3.642,136,4,0
5,Valparaíso,54,Petorca,5405,Zapallar,2.765,2.647,113,5,0
5,Valparaíso,55,Quillota,5501,Quillota,32.896,31.530,1.245,119,2
5,Valparaíso,55,Quillota,5502,Calera,17.023,16.145,806,72,0
5,Valparaíso,55,Quillota,5503,Hijuelas,6.534,6.110,393,29,2
5,Valparaíso,55,Quillota,5504,La Cruz,8.443,8.106,315,21,1
5,Valparaíso,55,Quillota,5506,Nogales,7.343,6.920,389,34,0
5,Valparaíso,56,San Antonio,5601,San Antonio,33.806,31.738,1.797,270,1
5,Valparaíso,56,San Antonio,5602,Algarrobo,6.307,6.048,223,34,2
5,Valparaíso,56,San Antonio,5603,Cartagena,9.014,8.397,543,73,1
5,Valparaíso,56,San Antonio,5604,El Quisco,7.489,7.130,315,43,1
5,Valparaíso,56,San Antonio,5605,El Tabo,6.622,6.303,276,42,1
5,Valparaíso,56,San Antonio,5606,Santo Domingo,4.588,4.417,145,26,0
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,28.723,27.138,1.455,129,1
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,4.860,4.596,242,22,0
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,8.721,8.218,442,61,0
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2.401,2.281,115,5,0
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,5.868,5.573,263,32,0
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5.286,5.045,222,19,0
