adm_region,adm_provincia,adm_comuna,adm_local,lat,lon,direccion_encontrada,fuente
METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,ESCUELA ALIANZA,-33.4149103,-70.7622543,"Escuela Alianza, 8514, La Capilla, Poblacion Alianza, Cerro Navia, Provincia de Santiago, Región Metropolitana de Santiago, 8661521, Chile",nominatim
DEL MAULE,TALCA,PELARCO,ESCUELA PABLO CORREA MONTT,-35.3829638,-71.3480845,"Escuela Pablo Correa Montt, Ruta K-25, Pelarco, Provincia de Talca, Región del Maule, Chile",nominatim
METROPOLITANA DE SANTIAGO,SANTIAGO,PEDRO AGUIRRE CERDA,CENTRO EDUCATIVO REPUBLICA MEXICANA,-33.488774,-70.665251,"8460361 Santiago, Pedro Aguirre Cerda, Santiago Metropolitan Region, Chile",google
METROPOLITANA DE SANTIAGO,TALAGANTE,PEÑAFLOR,ESCUELA TERESA DE CALCUTA,-33.6114021,-70.9035043,"Escuela Teresa de Calcuta, 48, Central, Barrio Unión de Cooperativas, Peñaflor, Provincia de Talagante, Región Metropolitana de Santiago, 9750000, Chile",nominatim
DE VALPARAISO,LOS ANDES,CALLE LARGA,POLIDEPORTIVO MUNICIPAL CALLE LARGA,-32.8503013,-70.6194931,"Polideportivo Municipal Calle Larga, Calle Larga, Villa Los Jardines, Alto del Puerto, Calle Larga, Provincia de Los Andes, Región de Valparaíso, 2100000, Chile",nominatim
METROPOLITANA DE SANTIAGO,TALAGANTE,PADRE HURTADO,LICEO PATRICIO MEKIS DE PADRE HURTADO,-33.574723,-70.8101587,"Av. Primera Transversal 2378, Padre Hurtado, Región Metropolitana, Chile",google
DE COQUIMBO,LIMARI,OVALLE,ESCUELA BASICA ARTURO ALESSANDRI PALMA,-30.6055188,-71.208972,"Benjamin Vicuña Mackenna 799, Ovalle, Coquimbo, Chile",google
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COINCO,ESCUELA MUNICIPAL COPEQUEN,-34.2499512,-70.92658980000002,"Copequen, Coinco, O'Higgins, Chile",google
DE VALPARAISO,MARGA MARGA,QUILPUE,COLEGIO LOS LIBERTADORES L1,-33.0390972,-71.40562349999999,"Almte. Gomez Carreño 593, 2420853 Quilpué, Valparaíso, Chile",google
DE VALPARAISO,VALPARAISO,VIÑA DEL MAR,COLEGIO ANA MARIA JANER,-33.023901,-71.5276801,"Colegio Ana María Janer, 881, Las Rejas, Villa Carlos Condell, Miraflores, Viña del Mar, Provincia de Valparaíso, Región de Valparaíso, 2520534, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,C. P. ANTOFAGASTA,-23.5218993,-70.3975047,"Ruta 1, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1272110, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,C. P. FEMENINO ANTOFAGASTA,-23.6509279,-70.39750219999999,"Antofagasta, Chile",google
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO ADVENTISTA DE ANTOFAGASTA,-23.6328308,-70.3952746,"Colegio Adventista, Bellavista, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1240000, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO ANTOFAGASTA,-23.5592637,-70.3941754,"Colegio Antofagasta, Oficina Ausonia, Condominio Coigue, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1262335, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO CHAÑARES,-23.6943504,-70.4167842,"Colegio Chañares, 0501, Avenida Cerro Paranal, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271987, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO COSTA CORDILLERA,-23.681513,-70.4061509,"Colegio Costa Cordillera, 1002, Antilhue, Población Coviefi, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1270460, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO EBEN EZER,-23.5716606,-70.3837854,"Colegio Eben Ezer, 785, Vladimir Saavedra, Villa Las Palmas, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1262335, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO INGLES SAN JOSE,-23.6656159,-70.4010885,"Colegio Inglés San José, 999, Galleguillos Lorca, Barrio Gran Vía, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1270199, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO INSTITUTO SANTA MARIA,-23.6526706,-70.3951039,"Instituto Santa María Antofagasta, 941, Maipú, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271572, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO MISIONERO JOSE LANCASTER,-23.6610514,-70.3884705,"Colegio Misionero José Lancaster, 2380, Avenida Circunvalación Padre Alberto Hurtado, Campamento Franja Esperanza, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271572, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN AGUSTIN,-23.5909357,-70.3957819,"Colegio San Agustín, 7, Los Pimientos, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1200000, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN LUIS,-23.6511282,-70.395061,"Colegio San Luis, 866, Baquedano, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271572, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN MARCOS,-23.5305306,-70.3947256,"Colegio San Marcos De Antofagasta, 13955, Miguel Rosas, Condominio Socaire, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1272110, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN PATRICIO,-23.5659521,-70.393865,"Colegio San Patricio, 220, Santiago Humberstone, Condominio Santa Ana, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1262335, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SANTA TERESITA,-23.6504884,-70.3916334,"Colegio Santa Teresita De Lisieux, 1038, Simón Bolívar, Población Matta, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271572, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO TEC. IND. DON BOSCO ANTOFAGASTA,-23.5763804,-70.3824522,"Av. Huamachuco 9567, 1265172 Antofagasta, Chile",google
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA ALCALDE MAXIMILIANO POBLETE CORTES,-23.6607031,-70.3966768,"Av. Argentina 1595, 1270053 Antofagasta, Chile",google
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA ARTURO PRAT,-23.6073735,-70.3819113,"Escuela Básica Arturo Prat Chacón, El Roble, Villa Bulnes, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1241241, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA CLAUDIO MATTE PEREZ,-23.6372184,-70.38758829999999,"Llanquihue 3748, 1242671 Antofagasta, Chile",google
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA ESPAÑA,-23.6197919,-70.3776062,"Escuela Básica España, Montegrande, Villa Las Condes, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1241241, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA GABRIELA MISTRAL,-23.5957828,-70.3741348,"Escuela Básica Gabriela Mistral, 1015, Juan Gutenberg, Población Balmaceda, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1200000, Chile",nominatim
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BÁSICA HÉROES DE LA CONCEPCIÓN,-23.6258471,-70.3878868,"Escuela Básica Héroes de la Concepción, Calbuco, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1241241, Chile",nominatim
