adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,C. P. ANTOFAGASTA,0,3,11,1,9,9,17,1,51,4,2,57
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,C. P. FEMENINO ANTOFAGASTA,0,1,2,0,12,3,9,0,27,0,0,27
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO ADVENTISTA DE ANTOFAGASTA,16,239,934,44,846,444,559,34,3116,84,38,3238
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO ANTOFAGASTA,19,380,1240,91,1019,643,1055,43,4490,105,36,4631
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO CHAÑARES,9,630,352,87,618,463,943,16,3118,38,17,3173
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO COSTA CORDILLERA,37,604,541,142,1141,580,1011,24,4080,100,28,4208
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO EBEN EZER,16,169,1581,48,767,353,563,51,3548,101,55,3704
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO INGLES SAN JOSE,37,581,819,101,1244,696,982,36,4496,108,33,4637
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO INSTITUTO SANTA MARIA,29,373,1299,61,1161,576,794,58,4351,142,52,4545
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO MISIONERO JOSE LANCASTER,13,140,1246,38,712,297,414,55,2915,130,61,3106
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN AGUSTIN,29,331,1139,68,1056,547,753,43,3966,111,26,4103
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN LUIS,30,446,1119,65,1250,696,985,48,4639,154,55,4848
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN MARCOS,21,387,1380,68,819,793,1472,32,4972,102,36,5110
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SAN PATRICIO,17,504,829,66,986,595,950,37,3984,72,18,4074
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO SANTA TERESITA,19,215,1085,48,800,386,485,43,3081,111,58,3250
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COLEGIO TEC. IND. DON BOSCO ANTOFAGASTA,35,286,2811,66,1273,599,883,62,6015,152,86,6253
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA ALCALDE MAXIMILIANO POBLETE CORTES,39,484,958,89,1270,533,795,44,4212,102,64,4378
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA ARTURO PRAT,29,319,2097,57,1320,601,828,66,5317,240,72,5629
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA CLAUDIO MATTE PEREZ,33,290,1762,55,1211,594,721,66,4732,159,114,5005
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA ESPAÑA,26,259,2057,64,1180,548,621,85,4840,257,89,5186
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA GABRIELA MISTRAL,25,198,1903,45,950,446,554,48,4169,209,65,4443
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BÁSICA HÉROES DE LA CONCEPCIÓN,22,254,1179,53,910,475,626,41,3560,135,72,3767
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA JUAN LOPEZ,30,271,1614,65,1159,500,643,69,4351,206,76,4633
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA JUAN PABLO II,30,208,2617,49,1045,486,650,56,5141,195,71,5407
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BÁSICA LA BANDERA,30,280,2251,53,1165,551,689,68,5087,212,88,5387
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BÁSICA PADRE GUSTAVO LE PAIGE,23,330,2013,72,1425,617,783,108,5371,187,93,5651
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA BASICA PROF. ELMO FUNEZ CARRIZO,12,133,2003,35,713,357,431,47,3731,216,58,4005
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA DARIO SALAS DIAZ,23,446,779,102,1131,600,753,34,3868,151,41,4060
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN,22,345,1827,85,1211,639,749,61,4939,184,45,5168
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA ECOLOGICA PADRE ALBERTO HURTADO,20,230,1795,58,1109,490,560,44,4306,126,54,4486
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA GENERAL MANUEL BAQUEDANO,10,194,834,45,696,332,414,28,2553,60,34,2647
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA JAPON,29,310,1866,73,1281,551,709,56,4875,185,85,5145
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA JOSE PAPIC RADNIC,25,363,2037,49,1242,622,767,54,5159,261,80,5500
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA LAS AMERICAS PROF. JUSTO VALLADARES,14,208,857,46,584,328,459,21,2517,70,40,2627
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA LAS ROCAS,21,338,1190,61,940,637,670,41,3898,89,34,4021
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA PADRE PATRICIO CARIOLA,29,259,3096,64,1046,531,777,68,5870,295,77,6242
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA PRESBITERIANA,13,361,691,58,864,419,624,41,3071,163,39,3273
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA REPUBLICA DE ITALIA,14,283,1286,56,988,519,586,48,3780,146,60,3986
DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESCUELA REPUBLICA DEL ECUADOR,25,366,729,64,936,519,767,41,3447,78,30,3555
