adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE ARICA Y PARINACOTA,ARICA,ARICA,AZAPA VALLEY SCHOOL,9,123,462,15,316,244,429,29,1627,43,24,1694
DE ARICA Y PARINACOTA,ARICA,ARICA,C.P. DE ARICA,1,3,6,0,12,9,19,0,50,2,4,56
DE ARICA Y PARINACOTA,ARICA,ARICA,CENTRO DE CAPACITACION LABORAL REINO DE BELGICA,13,145,414,24,484,353,362,26,1821,57,26,1904
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO ALEMAN DE ARICA,19,244,538,23,544,440,619,30,2457,74,20,2551
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO BICENTENARIO MIRAMAR DE EXCELENCIA,34,246,1516,34,1039,744,952,59,4624,147,40,4811
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO CARDENAL ANTONIO SAMORE,19,312,736,36,786,635,782,46,3352,91,28,3471
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO CARDENAL RAUL SILVA HENRIQUEZ,29,257,1752,30,1020,798,988,58,4932,195,58,5185
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO CENTENARIO,22,374,988,44,1135,953,1382,42,4940,104,31,5075
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO CHILE NORTE,14,159,1629,34,726,606,778,48,3994,105,32,4131
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO DEL ALBA,9,111,485,14,380,323,400,20,1742,44,18,1804
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,12,297,548,35,720,739,735,37,3123,91,39,3253
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO ITALIANO SANTA ANA,16,140,618,28,525,348,360,28,2063,92,24,2179
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO JOHN WALL HOLCOMB,17,152,448,30,541,440,548,16,2192,55,22,2269
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO LEONARDO DA VINCI,19,188,1423,28,756,629,712,40,3795,118,47,3960
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO SAN MARCOS DE ARICA,11,248,507,30,768,494,604,34,2696,80,40,2816
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO SAUCACHE,20,191,838,27,560,593,884,32,3145,78,41,3264
DE ARICA Y PARINACOTA,ARICA,ARICA,COLEGIO TECNOLOGICO DON BOSCO DE ARICA,31,160,1479,29,701,606,793,39,3838,132,30,4000
DE ARICA Y PARINACOTA,ARICA,ARICA,COMPLEJO DEPORTIVO SAUCACHE UNIVERSIDAD DE TARAPACA,9,199,306,27,518,354,387,16,1816,44,7,1867
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA AMERICA,23,180,1175,23,585,588,683,41,3298,141,48,3487
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA COMANDANTE JUAN JOSE SAN MARTIN,17,236,1208,43,884,761,907,49,4105,209,49,4363
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA DOCTOR RICARDO OLEA GUERRA,19,171,1056,27,648,558,689,38,3206,175,47,3428
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA EJERCITO DE SALVACION,10,109,742,13,434,335,471,26,2140,58,27,2225
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA ESMERALDA,17,284,681,31,871,714,671,25,3294,88,38,3420
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA ESPAÑA,11,78,981,13,440,238,521,45,2327,102,54,2483
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA GABRIELA MISTRAL L1,11,139,1006,24,672,464,585,31,2932,121,54,3107
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA GABRIELA MISTRAL L2,14,127,806,14,549,339,383,30,2262,105,26,2393
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA GENERAL JOSE MIGUEL CARRERA,13,152,903,24,614,436,532,40,2714,108,36,2858
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA GENERAL MANUEL BAQUEDANO,6,30,232,3,97,84,123,14,589,26,12,627
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA GENERAL PEDRO LAGOS MARCHANT,17,161,849,22,706,549,520,31,2855,137,38,3030
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA IGNACIO CARRERA PINTO,6,82,588,14,306,236,374,26,1632,44,25,1701
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA JORGE ALESSANDRI RODRIGUEZ,22,233,1443,44,846,718,946,35,4287,121,38,4446
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA MANUEL RODRIGUEZ ERDOYZA,13,186,893,27,690,544,640,37,3030,122,51,3203
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA REGIMIENTO RANCAGUA,12,153,462,19,604,383,362,21,2016,65,25,2106
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA REPUBLICA DE ARGENTINA,19,188,593,20,751,489,510,30,2600,77,36,2713
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA REPUBLICA DE ISRAEL,24,456,853,72,1209,924,1002,47,4587,107,34,4728
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA ROMULO PEÑA MATURANA,21,208,761,29,915,627,719,39,3319,129,37,3485
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA SUBTENIENTE LUIS CRUZ MARTINEZ,20,205,816,31,713,690,687,34,3196,115,38,3349
DE ARICA Y PARINACOTA,ARICA,ARICA,ESCUELA TUCAPEL,22,211,991,40,1008,628,622,52,3574,157,51,3782
