adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE ATACAMA,CHAÑARAL,CHAÑARAL,ESCUELA BASICA IGNACIO DOMEYKO,14,163,1241,25,872,281,455,28,3079,116,35,3230
DE ATACAMA,CHAÑARAL,CHAÑARAL,ESCUELA BASICA PEDRO LUJAN,1,28,224,3,149,56,88,9,558,13,9,580
DE ATACAMA,CHAÑARAL,CHAÑARAL,LICEO FEDERICO VARELA,19,337,1644,50,1764,572,902,62,5350,167,72,5589
DE ATACAMA,CHAÑARAL,DIEGO DE ALMAGRO,ESCUELA BASICA SARA CORTES CORTES,20,190,1936,30,1602,586,823,63,5250,205,83,5538
DE ATACAMA,CHAÑARAL,DIEGO DE ALMAGRO,ESCUELA ESPECIAL DE LENGUAJE AYLLU,10,144,884,29,830,331,426,30,2684,99,40,2823
DE ATACAMA,COPIAPO,CALDERA,COLEGIO PARROQUIAL PADRE NEGRO,12,249,1162,36,1249,551,622,42,3923,111,46,4080
DE ATACAMA,COPIAPO,CALDERA,ESCUELA BYRON GIGOUX JAMES,33,261,1745,28,1407,584,740,59,4857,140,50,5047
DE ATACAMA,COPIAPO,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,25,472,1086,53,1500,829,839,60,4864,128,51,5043
DE ATACAMA,COPIAPO,COPIAPO,COLEGIO ESTACION,14,152,1273,28,636,330,640,25,3098,79,30,3207
DE ATACAMA,COPIAPO,COPIAPO,COLEGIO PARTICULAR SAN LORENZO,34,482,1244,85,1364,741,1173,39,5162,110,55,5327
DE ATACAMA,COPIAPO,COPIAPO,COLEGIO SAN AGUSTIN DE ATACAMA,30,410,858,74,1067,532,1105,35,4111,77,36,4224
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA BERNARDO O HIGGINS,23,237,926,32,933,514,636,51,3352,90,56,3498
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA BRUNO ZAVALA FREDES,20,352,882,69,1176,652,899,49,4099,101,37,4237
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA DIFERENCIAL MARIA LUZ LANZA PIZARRO,29,403,997,62,1315,812,1014,57,4689,137,58,4884
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA EL CHAÑAR,19,118,1396,19,800,329,545,41,3267,108,46,3421
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA ISABEL PENA MORALES,18,273,1347,44,977,495,737,44,3935,128,40,4103
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA JOSE MANSO DE VELASCO,60,320,2781,61,1999,852,1365,100,7538,203,129,7870
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA LAURA ROBLES SILVA,40,310,2103,53,1471,710,960,83,5730,187,80,5997
DE ATACAMA,COPIAPO,COPIAPO,ESCUELA SAN PEDRO,15,119,784,19,416,280,491,15,2139,44,19,2202
