adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,ESCUELA ALMIRANTE SIMPSON,4,66,269,15,251,157,234,11,1007,36,22,1065
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,ESCUELA BASICA LITORAL AUSTRAL,24,217,720,19,714,419,593,44,2750,108,52,2910
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,ESCUELA PEDRO AGUIRRE CERDA,4,38,80,5,152,119,122,14,534,12,29,575
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,ESCUELA POETISA GABRIELA MISTRAL,20,275,687,28,869,565,673,30,3147,72,46,3265
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,LICEO MAÑIHUALES,10,84,302,9,269,323,330,22,1349,53,30,1432
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,LICEO POLITECNICO DE AYSEN,25,265,853,30,912,566,708,44,3403,103,58,3564
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,AYSEN,LICEO RAUL BROUSSAIN CAMPINO,67,379,694,38,1378,807,973,56,4392,98,56,4546
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,CISNES,ESCUELA AMANDA LABARCA HUBERSTONE,1,18,28,1,36,40,45,4,173,2,12,187
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,CISNES,ESCUELA EUSEBIO IBAR SCHEPELER,3,61,104,2,187,385,287,13,1042,33,19,1094
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,CISNES,ESCUELA HAMBURGO,3,34,62,5,118,102,92,4,420,3,14,437
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,CISNES,ESCUELA MADRE DE LA DIVINA PROVIDENCIA,2,0,10,0,26,33,20,1,92,1,3,96
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,CISNES,LICEO ARTURO PRAT CHACON,11,142,339,17,493,356,441,16,1815,73,34,1922
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,GUAITECAS,LICEO DE MELINKA,5,89,219,7,243,119,338,16,1036,20,20,1076
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CAPITAN PRAT,COCHRANE,LICEO BICENTENARIO AUSTRAL LORD COCHRANE,12,232,260,21,643,521,560,24,2273,70,59,2402
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CAPITAN PRAT,O'HIGGINS,ESCUELA PIONEROS DEL SUR,1,37,37,4,110,104,141,7,441,8,9,458
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CAPITAN PRAT,TORTEL,ESCUELA MUNICIPAL COMANDANTE LUIS BRAVO,5,36,63,5,120,89,71,4,393,17,7,417
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,COLEGIO LYON COLLEGE,6,252,270,26,647,446,462,26,2135,57,36,2228
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA BAQUEDANO,14,217,211,15,500,366,426,18,1767,37,16,1820
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA JOSE ANTOLIN SILVA ORMENO,3,37,98,2,120,92,101,6,459,12,11,482
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA NIEVES DEL SUR,23,406,611,42,903,607,777,35,3404,108,40,3552
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA PARTICULAR SAN JOSE OBRERO,9,272,210,21,605,438,456,20,2031,45,17,2093
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA PEDRO QUINTANA MANSILLA,4,201,126,20,388,282,319,9,1349,20,10,1379
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA RURAL CON INTERNADO RIO BLANCO,3,37,79,1,95,133,125,9,482,19,18,519
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA RURAL PABLO CEA VASQUEZ,1,43,33,5,67,83,95,4,331,9,11,351
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA RURAL PABLO NERUDA,4,23,50,3,85,97,104,7,373,13,6,392
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA RURAL VALLE DE LA LUNA,0,26,51,2,47,82,146,5,359,15,15,389
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA RURAL VALLE SIMPSON,5,127,146,13,258,278,308,15,1150,38,20,1208
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESCUELA VICTOR DOMINGO SILVA,29,462,559,57,1173,825,870,49,4024,105,55,4184
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,GIMNASIO REGIONAL COYHAIQUE,12,192,169,19,463,259,302,11,1427,39,24,1490
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO BICENTENARIO AGRICOLA DE LA PATAGONIA,18,289,621,27,706,658,688,32,3039,62,44,3145
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO BICENTENARIO ALTOS DEL MACKAY,1,55,29,9,93,81,77,0,345,4,3,352
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO FRANCISCO XAVIER BUTINA,24,383,1066,43,1158,875,1054,52,4655,135,64,4854
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO JOSEFINA AGUIRRE MONTENEGRO,12,350,142,27,495,504,501,15,2046,36,25,2107
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO SAN FELIPE BENICIO DE COYHAIQUE,20,390,233,39,719,554,545,15,2515,45,21,2581
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO TECNICO PROFESIONAL JUAN PABLO II,21,372,774,44,987,740,853,48,3839,111,52,4002
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,LICEO TECNICO PROFESIONAL PROFESOR RICARDO NAVARRETE,15,317,605,41,940,651,708,47,3324,100,54,3478
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,LAGO VERDE,ESCUELA CON INTERNADO JOSE MIGUEL CARRERA,2,17,16,1,66,81,79,2,264,9,6,279
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,LAGO VERDE,ESCUELA MUNICIPAL VILLA AMENGUAL,2,25,36,2,45,31,38,1,180,6,8,194
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,LAGO VERDE,ESCUELA RURAL CON INTERNADO LA TAPERA,0,11,36,1,80,61,88,3,280,17,9,306
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,CHILE CHICO,ESCUELA BASICA DE CHILE CHICO,24,204,329,29,1096,535,550,31,2798,112,63,2973
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,CHILE CHICO,ESCUELA DE PUERTO BERTRAND,0,8,18,1,7,17,11,0,62,2,1,65
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,CHILE CHICO,ESCUELA LIBERTADOR BERNARDO O´HIGGINS RIQUELME,5,63,47,4,110,114,146,4,493,14,11,518
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,CHILE CHICO,ESCUELA TULIO BURGOS RIVERA,2,13,7,2,19,36,40,3,122,3,0,125
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,RIO IBAÑEZ,ESCUELA AONIKENK,3,106,134,5,266,163,209,8,894,17,10,921
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,RIO IBAÑEZ,ESCUELA GABRIELA MISTRAL,2,54,31,15,143,74,93,6,418,8,6,432
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,RIO IBAÑEZ,ESCUELA MARIA ANTONIETA PARRA MONSALVE,1,18,3,0,8,23,31,2,86,1,2,89
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,RIO IBAÑEZ,ESCUELA RURAL CARRETERA AUSTRAL,0,23,33,2,60,117,86,6,327,3,5,335
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,RIO IBAÑEZ,LICEO BICENTENARIO RURAL CERRO CASTILLO,2,51,62,5,101,132,153,3,509,9,15,533
