adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE COQUIMBO,CHOAPA,CANELA,ESCUELA BASICA HECTOR JORQUERA VALENCIA,41,341,1598,53,1861,482,1126,66,5568,118,104,5790
DE COQUIMBO,CHOAPA,CANELA,ESCUELA BASICA MINCHA NORTE,8,146,506,20,787,213,397,38,2115,58,41,2214
DE COQUIMBO,CHOAPA,ILLAPEL,ESCUELA BASICA SAN RAFAEL DE ROZAS,18,524,1583,62,1963,765,1194,72,6181,169,94,6444
DE COQUIMBO,CHOAPA,ILLAPEL,ESCUELA BASICA VALLE DEL CHOAPA,37,501,1900,62,2095,651,1237,62,6545,192,106,6843
DE COQUIMBO,CHOAPA,ILLAPEL,ESCUELA BASICA VILLA LOS NARANJOS,17,255,1516,40,1079,356,667,45,3975,125,53,4153
DE COQUIMBO,CHOAPA,ILLAPEL,LICEO DOMINGO ORTIZ DE ROZAS,36,581,1946,70,2153,735,1213,94,6828,196,118,7142
DE COQUIMBO,CHOAPA,LOS VILOS,COLEGIO DIEGO DE ALMAGRO,34,587,1034,65,1886,747,1014,68,5435,164,60,5659
DE COQUIMBO,CHOAPA,LOS VILOS,ESCUELA BASICA ERCOLE BENCINI,10,185,282,15,474,232,278,16,1492,71,19,1582
DE COQUIMBO,CHOAPA,LOS VILOS,ESCUELA BASICA TERESA CANNON DE BARRIOLHET.,13,324,704,31,859,404,753,43,3131,95,71,3297
DE COQUIMBO,CHOAPA,LOS VILOS,ESCUELA CLARA VIAL ORREGO,1,48,309,14,343,150,190,13,1068,36,22,1126
DE COQUIMBO,CHOAPA,LOS VILOS,LICEO NICOLAS FEDERICO LOHSE VARGAS,33,437,1381,43,1620,584,922,55,5075,138,62,5275
