adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE LA ARAUCANIA,CAUTIN,CARAHUE,COMPLEJO EDUCACIONAL PUBLICO DARIO SALAS DIAZ,28,289,1131,28,853,413,1368,52,4162,106,81,4349
DE LA ARAUCANIA,CAUTIN,CARAHUE,ESCUELA PUBLICA KIM RUKA PABELLON A,27,319,731,23,767,456,1240,46,3609,101,74,3784
DE LA ARAUCANIA,CAUTIN,CARAHUE,ESCUELA PUBLICA KIM RUKA PABELLON B,19,247,625,20,665,350,1087,59,3072,122,52,3246
DE LA ARAUCANIA,CAUTIN,CARAHUE,ESCUELA PUBLICA NEHUENTUE,1,69,164,4,217,104,359,12,930,26,14,970
DE LA ARAUCANIA,CAUTIN,CARAHUE,ESCUELA PUBLICA TRANAPUENTE,5,135,325,16,363,169,578,18,1609,28,38,1675
DE LA ARAUCANIA,CAUTIN,CARAHUE,LICEO BICENTENARIO CLAUDIO ARRAU LEON,15,278,527,16,605,419,1025,27,2912,72,34,3018
DE LA ARAUCANIA,CAUTIN,CARAHUE,LICEO PUBLICO TROVOLHUE,12,173,387,7,303,337,1344,30,2593,47,43,2683
DE LA ARAUCANIA,CAUTIN,CHOLCHOL,LICEO AGRICOLA CHOLCHOL,21,252,940,15,430,358,1014,40,3070,80,48,3198
DE LA ARAUCANIA,CAUTIN,CHOLCHOL,LICEO BICENTENARIO JAMES MUNDELL,31,349,1144,33,1004,462,1117,56,4196,114,33,4343
DE LA ARAUCANIA,CAUTIN,CHOLCHOL,LICEO SAN FRANCISCO DE ASIS,19,296,876,16,489,354,976,37,3063,77,45,3185
DE LA ARAUCANIA,CAUTIN,CUNCO,COLEGIO JUAN PABLO II,11,147,379,14,344,250,645,15,1805,56,11,1872
DE LA ARAUCANIA,CAUTIN,CUNCO,ESCUELA HERMANO LEOVIGILDO KLEY,7,269,654,35,637,424,1051,27,3104,71,24,3199
DE LA ARAUCANIA,CAUTIN,CUNCO,ESCUELA LAS HORTENSIAS,2,99,212,7,219,180,312,16,1047,32,13,1092
DE LA ARAUCANIA,CAUTIN,CUNCO,ESCUELA MUNICIPAL QUECHUREHUE,6,84,206,9,185,112,275,7,884,20,24,928
DE LA ARAUCANIA,CAUTIN,CUNCO,ESCUELA PARTICULAR LA DEHESA,6,67,321,7,206,147,426,6,1186,25,16,1227
DE LA ARAUCANIA,CAUTIN,CUNCO,ESCUELA PARTICULAR N° 19 PADRE BERNABE,2,33,101,3,83,73,138,3,436,11,3,450
DE LA ARAUCANIA,CAUTIN,CUNCO,LICEO ARTURO VALENZUELA,12,252,522,15,574,452,999,26,2852,100,52,3004
DE LA ARAUCANIA,CAUTIN,CUNCO,LICEO MUNICIPAL ATENEA,18,352,774,29,787,652,1389,43,4044,110,41,4195
DE LA ARAUCANIA,CAUTIN,CURARREHUE,COMPLEJO EDUCACIONAL MONSEÑOR FRANCISCO VALDES SUBERCASEAUX,12,129,368,12,390,392,709,14,2026,65,24,2115
DE LA ARAUCANIA,CAUTIN,CURARREHUE,COMPLEJO EDUCACIONAL RUKA NGEN,12,139,494,21,494,440,872,27,2499,75,54,2628
DE LA ARAUCANIA,CAUTIN,CURARREHUE,ESCUELA JERONIMO NECULPAN,3,58,159,2,126,152,490,8,998,14,16,1028
DE LA ARAUCANIA,CAUTIN,CURARREHUE,ESCUELA PARTICULAR N° 2 CATRIPULLI,8,78,244,9,215,211,363,7,1135,50,13,1198
DE LA ARAUCANIA,CAUTIN,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,16,195,440,22,408,340,750,32,2203,63,52,2318
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA BASICA QUETROCO,8,86,181,8,154,80,220,17,754,11,17,782
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA G-582 COIPUE,5,69,138,8,153,165,284,11,833,39,6,878
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA JUAN SEGUEL,13,182,367,20,417,302,690,28,2019,48,39,2106
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA JUAN SEGUEL ANEXO,14,186,786,29,484,421,1033,49,3002,102,32,3136
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA LA ESPERANZA,5,138,354,8,277,242,625,23,1672,42,25,1739
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA PARTICULAR ARTURO PRAT,20,267,629,25,490,276,776,37,2520,63,41,2624
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA RAIMAPU,28,378,732,28,664,451,1176,62,3519,116,53,3688
DE LA ARAUCANIA,CAUTIN,FREIRE,ESCUELA SAN MANUEL DE LOLEN N° 330,6,110,209,7,165,128,303,18,946,23,23,992
DE LA ARAUCANIA,CAUTIN,FREIRE,LICEO BICENTENARIO JUAN SCHLEYER,8,161,427,26,420,406,686,29,2163,83,38,2284
DE LA ARAUCANIA,CAUTIN,GALVARINO,ESCUELA MUNICIPAL GABRIELA MISTRAL,23,251,1180,20,817,427,1394,44,4156,76,90,4322
DE LA ARAUCANIA,CAUTIN,GALVARINO,ESCUELA MUNICIPAL RIO QUILLEM,26,246,899,26,728,376,1240,62,3603,108,61,3772
DE LA ARAUCANIA,CAUTIN,GALVARINO,LICEO TECNICO PROFESIONAL JUAN PABLO II,17,158,583,9,483,227,677,36,2190,58,29,2277
DE LA ARAUCANIA,CAUTIN,GORBEA,COMPLEJO EDUCACIONAL JOSE VICTORINO LASTARRIA,7,103,294,12,203,371,647,17,1654,39,20,1713
DE LA ARAUCANIA,CAUTIN,GORBEA,ESCUELA BASICA CINCO,9,234,425,26,516,504,896,32,2642,66,25,2733
DE LA ARAUCANIA,CAUTIN,GORBEA,ESCUELA BASICA LICARAYEN,3,82,206,8,182,228,429,8,1146,19,13,1178
DE LA ARAUCANIA,CAUTIN,GORBEA,ESCUELA BASICA LOS PERALES,12,119,476,10,324,302,603,18,1864,61,29,1954
DE LA ARAUCANIA,CAUTIN,GORBEA,ESCUELA PRESBITERO JOSE AGUSTIN GOMEZ,13,232,471,31,406,522,962,22,2659,56,29,2744
DE LA ARAUCANIA,CAUTIN,GORBEA,LICEO BICENTENARIO ANDRES ANTONIO GORBEA,15,169,438,12,391,394,819,14,2252,54,25,2331
DE LA ARAUCANIA,CAUTIN,LAUTARO,ESCUELA BASICA AMELIA GODOY PEÑA,5,170,430,12,402,264,697,20,2000,59,24,2083
DE LA ARAUCANIA,CAUTIN,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,16,298,515,33,417,393,1013,36,2721,91,29,2841
DE LA ARAUCANIA,CAUTIN,LAUTARO,ESCUELA BASICA NUMERO SEIS,18,273,581,25,536,465,981,15,2894,59,23,2976
DE LA ARAUCANIA,CAUTIN,LAUTARO,ESCUELA IRENE FREI,16,244,646,28,545,433,962,33,2907,85,20,3012
