adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE LOS LAGOS,CHILOE,ANCUD,C.E.I.A. SALOMON FUENTES MARTINEZ Y GIMNASIO (EX ESC. FATIM,23,268,1058,41,938,510,1052,56,3946,111,61,4118
DE LOS LAGOS,CHILOE,ANCUD,ESCUELA ANEXA,49,543,1167,84,1528,932,1568,55,5926,172,69,6167
DE LOS LAGOS,CHILOE,ANCUD,ESCUELA PUDETO,29,463,1355,60,1021,942,1644,87,5601,190,111,5902
DE LOS LAGOS,CHILOE,ANCUD,ESCUELA RURAL EL PALOMAR,2,41,167,7,118,173,233,10,751,38,26,815
DE LOS LAGOS,CHILOE,ANCUD,ESCUELA RURAL SOL DEL PACIFICO,6,222,432,26,292,256,719,22,1975,47,65,2087
DE LOS LAGOS,CHILOE,ANCUD,ESCUELA RURAL VILLA CHACAO,12,290,649,23,659,406,826,53,2918,78,81,3077
DE LOS LAGOS,CHILOE,ANCUD,ESCUELA YERBAS BUENAS Y GIMNASIO,29,388,1179,62,1306,632,1242,56,4894,202,69,5165
DE LOS LAGOS,CHILOE,ANCUD,LICEO BICENTENARIO DE ANCUD,21,318,812,46,876,498,922,38,3531,116,53,3700
DE LOS LAGOS,CHILOE,ANCUD,LICEO POLIVALENTE DE ANCUD Y GIMNASIO (EX DOMINGO ESPIÑEIRA,7,152,339,26,454,226,432,23,1659,59,18,1736
DE LOS LAGOS,CHILOE,CASTRO,ESCUELA AYTUE,30,403,1156,57,1389,654,1091,52,4832,161,64,5057
DE LOS LAGOS,CHILOE,CASTRO,ESCUELA LUIS URIBE DIAZ Y GIMNASIO,34,470,964,68,1190,630,1006,52,4414,101,58,4573
DE LOS LAGOS,CHILOE,CASTRO,ESCUELA RURAL LOS ANGELES,5,54,162,6,85,69,220,11,612,22,18,652
DE LOS LAGOS,CHILOE,CASTRO,ESCUELA RURAL MIRTA OYARZO VERA,16,225,582,12,378,234,613,27,2087,48,55,2190
DE LOS LAGOS,CHILOE,CASTRO,ESCUELA RURAL PEDRO VELASQUEZ BONTES,30,376,793,50,879,472,935,44,3579,90,73,3742
DE LOS LAGOS,CHILOE,CASTRO,LICEO BILINGUE TERESA DE LOS ANDES,38,533,986,66,1403,682,1153,53,4914,105,68,5087
DE LOS LAGOS,CHILOE,CASTRO,LICEO FRANCISCO COLOANE,27,288,1442,49,1067,583,1125,59,4640,149,39,4828
DE LOS LAGOS,CHILOE,CASTRO,LICEO GALVARINO RIVEROS CARDENAS Y GIMNASIO,18,305,413,37,687,331,568,25,2384,51,27,2462
DE LOS LAGOS,CHILOE,CASTRO,LICEO POLITECNICO DE CASTRO,28,399,700,61,1136,530,843,40,3737,118,60,3915
DE LOS LAGOS,CHILOE,CASTRO,POLIDEPORTIVO DE CASTRO,17,148,1000,24,647,352,654,35,2877,107,46,3030
DE LOS LAGOS,CHILOE,CHONCHI,ESCUELA BASICA SAN CARLOS,28,307,1335,33,976,396,1002,41,4118,91,86,4295
DE LOS LAGOS,CHILOE,CHONCHI,ESCUELA RURAL CUCAO,3,31,168,12,160,59,125,10,568,14,21,603
DE LOS LAGOS,CHILOE,CHONCHI,ESCUELA RURAL EL PULPITO,5,58,282,4,226,85,246,16,922,18,24,964
DE LOS LAGOS,CHILOE,CHONCHI,ESCUELA RURAL HUILLINCO,5,109,321,15,338,134,301,9,1232,38,14,1284
DE LOS LAGOS,CHILOE,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,25,486,1317,54,1086,497,1177,38,4680,120,82,4882
DE LOS LAGOS,CHILOE,CURACO DE VELEZ,LICEO ALFREDO BARRIA OYARZUN,17,223,745,25,650,367,840,36,2903,95,100,3098
DE LOS LAGOS,CHILOE,DALCAHUE,ESCUELA BASICA DALCAHUE,34,331,1469,48,920,497,1218,48,4565,139,65,4769
DE LOS LAGOS,CHILOE,DALCAHUE,ESCUELA RURAL JOSE DANIEL BAHAMONDE BAHAMONDE,4,57,254,4,132,84,266,10,811,28,17,856
DE LOS LAGOS,CHILOE,DALCAHUE,ESCUELA RURAL JUAN VICTORINO TANGOL,4,66,190,6,128,105,286,8,793,22,18,833
DE LOS LAGOS,CHILOE,DALCAHUE,ESCUELA RURAL MALLINLEMU,10,175,683,20,391,312,729,26,2346,66,41,2453
DE LOS LAGOS,CHILOE,DALCAHUE,LICEO POLIVALENTE DALCAHUE,19,209,872,31,683,385,811,25,3035,83,50,3168
DE LOS LAGOS,CHILOE,PUQUELDON,ESCUELA PUQUELDON,17,199,1291,27,720,291,804,32,3381,76,60,3517
DE LOS LAGOS,CHILOE,QUEILEN,ESCUELA CHILHUE,14,281,1299,33,990,433,1038,37,4125,86,110,4321
DE LOS LAGOS,CHILOE,QUEILEN,ESCUELA RURAL NEPUE,0,13,65,2,44,45,64,4,237,2,3,242
DE LOS LAGOS,CHILOE,QUELLON,ESCUELA BASICA SECTOR ORIENTE,26,271,1364,39,888,667,1225,44,4524,137,111,4772
DE LOS LAGOS,CHILOE,QUELLON,ESCUELA EDUCADORA EULOGIA BORQUEZ PEREZ,43,422,2073,56,1386,1021,1731,85,6817,198,159,7174
DE LOS LAGOS,CHILOE,QUELLON,ESCUELA RURAL ADELA GARCIA GARCIA,9,78,362,12,214,181,293,9,1158,26,31,1215
DE LOS LAGOS,CHILOE,QUELLON,ESCUELA RURAL ARTISTICA ALUMNO MARCELO GUENTEO SOLIS,4,60,389,10,228,141,398,16,1246,33,38,1317
DE LOS LAGOS,CHILOE,QUELLON,LICEO RAYEN MAPU,40,395,1694,54,1147,825,1511,70,5736,163,115,6014
DE LOS LAGOS,CHILOE,QUEMCHI,ESCUELA BASICA MIL PAISAJES Y GIMNASIO,9,105,564,23,640,280,515,36,2172,71,43,2286
DE LOS LAGOS,CHILOE,QUEMCHI,ESCUELA RURAL BORDEMAR (NUEVA),1,57,115,2,60,47,137,11,430,16,22,468
DE LOS LAGOS,CHILOE,QUEMCHI,ESCUELA RURAL LINDA VISTA,1,33,143,5,69,35,78,11,375,6,29,410
DE LOS LAGOS,CHILOE,QUEMCHI,ESCUELA RURAL LLIUCO,5,79,143,12,94,127,486,9,955,17,29,1001
DE LOS LAGOS,CHILOE,QUEMCHI,ESCUELA RURAL MONTEMAR,11,77,384,6,149,168,490,17,1302,37,39,1378
DE LOS LAGOS,CHILOE,QUEMCHI,ESCUELA RURAL TAC,0,16,58,3,22,30,52,2,183,5,1,189
DE LOS LAGOS,CHILOE,QUEMCHI,LICEO BICENTENARIO QUEMCHI,4,87,265,9,280,183,335,12,1175,48,30,1253
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL AMANECER 2000,0,10,64,0,77,21,51,2,225,8,8,241
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL LA CAPILLA,0,15,61,1,30,18,64,0,189,6,14,209
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL LA VILLA,1,33,218,0,92,43,140,10,537,22,26,585
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL LLINGUA,0,13,59,2,44,10,27,3,158,1,16,175
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL LOS PINOS,2,20,84,0,43,18,79,5,251,8,4,263
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL OSTRICULTURA Y GIMNASIO,2,37,148,3,38,42,115,4,389,7,16,412
DE LOS LAGOS,CHILOE,QUINCHAO,ESCUELA RURAL SAN FRANCISCO,0,25,116,2,38,35,99,8,323,9,15,347
DE LOS LAGOS,CHILOE,QUINCHAO,LICEO BICENTENARIO INSULAR ENSEÑANZA BASICA Y GIMNASIO,16,165,563,34,799,241,547,21,2386,74,44,2504
DE LOS LAGOS,CHILOE,QUINCHAO,LICEO BICENTENARIO INSULAR ENSEÑANZA MEDIA Y GIMNASIO,5,115,344,13,388,154,340,15,1374,46,23,1443
DE LOS LAGOS,LLANQUIHUE,CALBUCO,COLEGIO EULOGIO GOYCOLEA GARAY Y GIMNASIO,45,658,1635,56,1573,976,1990,75,7008,202,128,7338
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA JOSE MANUEL BALMACEDA,20,295,956,54,991,495,977,43,3831,102,63,3996
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA LIBERTADOR GENERAL BERNARDO OHIGGINS RIQUELME,23,173,674,31,445,288,569,15,2218,51,50,2319
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA RURAL CARMEN MIRANDA NAVARRO,4,59,245,9,114,146,422,10,1009,17,34,1060
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA RURAL CHAUQUEAR,9,128,423,12,130,231,865,25,1823,101,70,1994
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA RURAL CHAYAHUE,0,56,177,3,63,60,177,10,546,18,18,582
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA RURAL PARGUA,7,157,471,16,314,208,499,23,1695,60,44,1799
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA SAN JOSE,9,201,451,18,294,269,718,15,1975,45,51,2071
DE LOS LAGOS,LLANQUIHUE,CALBUCO,ESCUELA UNIFICADA ISLA GUAR,15,60,163,4,115,123,277,9,766,21,23,810
DE LOS LAGOS,LLANQUIHUE,CALBUCO,LICEO FRANCISCO HERNANDEZ ORTIZ-PIZARRO,28,440,1348,32,779,822,1920,78,5447,160,104,5711
DE LOS LAGOS,LLANQUIHUE,COCHAMO,ESCUELA BASICA FRONTERIZA JUAN SOLER MANFREDINI,9,95,191,17,231,187,338,18,1086,39,24,1149
DE LOS LAGOS,LLANQUIHUE,COCHAMO,ESCUELA RURAL CAPITAN DE BANDADA CARLOS RODRIGUEZ,5,38,48,5,53,153,241,10,553,26,8,587
DE LOS LAGOS,LLANQUIHUE,COCHAMO,ESCUELA RURAL RIO PUELO,17,131,211,16,240,316,523,18,1472,35,44,1551
DE LOS LAGOS,LLANQUIHUE,COCHAMO,ESCUELA RURAL SAN ANTONIO,1,28,76,2,64,64,85,3,323,7,9,339
DE LOS LAGOS,LLANQUIHUE,COCHAMO,ESCUELA RURAL SOBERANIA,0,4,3,0,1,7,25,2,42,3,0,45
DE LOS LAGOS,LLANQUIHUE,FRESIA,COLEGIO PURISIMO CORAZON DE MARIA,10,132,248,16,358,332,479,14,1589,29,17,1635
DE LOS LAGOS,LLANQUIHUE,FRESIA,ESCUELA RURAL PARGA,3,89,279,4,241,344,529,25,1514,39,44,1597
DE LOS LAGOS,LLANQUIHUE,FRESIA,ESCUELA SAN ANDRES,3,107,257,13,359,250,372,18,1379,48,25,1452
DE LOS LAGOS,LLANQUIHUE,FRESIA,LICEO CARLOS IBAÑEZ DEL CAMPO Y GIMNASIO,33,396,1344,36,1226,1028,1782,65,5910,233,138,6281
DE LOS LAGOS,LLANQUIHUE,FRUTILLAR,ESCUELA ARTURO ALESSANDRI PALMA,20,772,1186,51,1487,1286,1783,63,6648,189,93,6930
DE LOS LAGOS,LLANQUIHUE,FRUTILLAR,ESCUELA CLAUDIO MATTE,24,402,1325,37,970,826,1413,49,5046,145,80,5271
DE LOS LAGOS,LLANQUIHUE,FRUTILLAR,ESCUELA RURAL LOS LINARES DE CASMA,6,154,461,12,379,402,593,15,2022,54,30,2106
DE LOS LAGOS,LLANQUIHUE,FRUTILLAR,ESCUELA VICENTE PEREZ ROSALES,9,349,759,29,686,553,1020,23,3428,85,54,3567
DE LOS LAGOS,LLANQUIHUE,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,26,558,1630,73,1443,1085,1642,74,6531,148,73,6752
DE LOS LAGOS,LLANQUIHUE,LLANQUIHUE,ESCUELA RURAL COLEGUAL,3,140,290,8,200,358,478,20,1497,46,35,1578
DE LOS LAGOS,LLANQUIHUE,LLANQUIHUE,ESCUELA RURAL LOS PELLINES,6,119,346,7,264,290,422,11,1465,41,19,1525
DE LOS LAGOS,LLANQUIHUE,LLANQUIHUE,LICEO POLITECNICO HOLANDA,25,428,1248,51,1171,766,1336,50,5075,161,75,5311
DE LOS LAGOS,LLANQUIHUE,LOS MUERMOS,COLEGIO RAMON ANGEL JARA,22,501,1194,51,850,1580,2108,74,6380,167,143,6690
DE LOS LAGOS,LLANQUIHUE,LOS MUERMOS,ESCUELA RURAL CAÑITAS,3,110,250,6,253,341,478,10,1451,46,31,1528
DE LOS LAGOS,LLANQUIHUE,LOS MUERMOS,ESCUELA RURAL ESTAQUILLA,5,77,206,0,99,283,500,12,1182,50,27,1259
DE LOS LAGOS,LLANQUIHUE,LOS MUERMOS,LICEO PUNTA DE RIELES,22,400,1125,36,827,1203,1775,38,5426,151,95,5672
DE LOS LAGOS,LLANQUIHUE,MAULLIN,ESCUELA ENCARNACION OLIVARES,18,228,420,12,357,384,758,23,2200,65,50,2315
DE LOS LAGOS,LLANQUIHUE,MAULLIN,ESCUELA FRANCISCO CORTES OJEDA,11,194,630,25,578,377,730,24,2569,123,66,2758
DE LOS LAGOS,LLANQUIHUE,MAULLIN,ESCUELA JOSE ABELARDO NUÑEZ,23,307,700,44,799,555,1041,34,3503,129,71,3703
DE LOS LAGOS,LLANQUIHUE,MAULLIN,ESCUELA RURAL DORILA AGUILA AGUILAR,6,125,389,5,157,209,556,19,1466,30,44,1540
DE LOS LAGOS,LLANQUIHUE,MAULLIN,ESCUELA RURAL HILDA HUNQUEN,7,56,170,6,115,234,400,13,1001,30,26,1057
DE LOS LAGOS,LLANQUIHUE,MAULLIN,ESCUELA RURAL LOS ARCES,4,132,192,10,189,229,380,19,1155,36,29,1220
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO BOSQUEMAR,43,803,1400,98,1486,1094,2054,52,7030,140,40,7210
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO CREACIONES LA ARAUCANA,31,671,1363,79,1263,960,1823,51,6241,158,49,6448
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO DOMINGO SANTA MARIA,49,754,1512,86,1481,1053,1745,73,6753,189,63,7005
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO LOS ALERCES,32,379,1571,52,1094,861,1587,72,5648,195,95,5938
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO NUEVA ALERCE,35,450,2251,55,1312,991,1840,84,7018,222,103,7343
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO SALESIANO PADRE JOSE FERNANDEZ PEREZ,42,700,1054,75,1276,1016,1380,46,5589,171,51,5811
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO SANTO TOMAS,20,629,251,63,685,535,868,18,3069,46,15,3130
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,COLEGIO TECNICO PROFESIONAL PIEDRA AZUL,16,166,260,13,352,280,374,13,1474,26,27,1527
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,ESCUELA 10 ANGELMO,42,687,1057,78,1477,966,1447,67,5821,206,68,6095
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,ESCUELA 7 ARABE-SIRIA,26,517,708,44,991,637,1055,85,4063,114,65,4242
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,ESCUELA BASICA GABRIELA MISTRAL,50,356,800,51,956,643,1024,53,3933,139,74,4146
DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,ESCUELA BASICA KIMUN LAWAL,41,505,2187,93,1453,1071,2073,68,7491,228,78,7797
