adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE LOS RIOS,RANCO,FUTRONO,ESCUELA BASICA JOSE MANUEL BALMACEDA F.,28,377,823,42,775,820,1631,41,4537,114,50,4701
DE LOS RIOS,RANCO,FUTRONO,ESCUELA FRONTERIZA DE LLIFEN,8,148,328,14,341,326,547,12,1724,57,23,1804
DE LOS RIOS,RANCO,FUTRONO,ESCUELA RURAL CURRIÑE,10,51,205,1,161,179,351,15,973,11,8,992
DE LOS RIOS,RANCO,FUTRONO,ESCUELA RURAL ISLA HUAPI,1,11,51,1,62,23,91,3,243,5,7,255
DE LOS RIOS,RANCO,FUTRONO,ESCUELA RURAL NONTUELA,4,114,308,4,263,314,521,12,1540,25,21,1586
DE LOS RIOS,RANCO,FUTRONO,LICEO SAN CONRADO DE FUTRONO,21,305,762,26,600,648,1340,30,3732,98,36,3866
DE LOS RIOS,RANCO,LA UNION,COLEGIO DE CULTURA Y DIFUSION ARTISTICA,26,438,1265,62,1064,786,1337,47,5025,113,39,5177
DE LOS RIOS,RANCO,LA UNION,COLEGIO TECNICO PROFESIONAL HONORIO OJEDA VALDERAS,16,278,544,34,599,523,666,22,2682,75,28,2785
DE LOS RIOS,RANCO,LA UNION,ESCUELA DIFERENCIAL VILLA SAN JOSE,4,209,347,24,372,337,519,12,1824,39,23,1886
DE LOS RIOS,RANCO,LA UNION,ESCUELA EL MAITEN,20,350,1130,42,951,590,1085,55,4223,128,56,4407
DE LOS RIOS,RANCO,LA UNION,ESCUELA PRESIDENTE JORGE ALESSANDRI R.,17,295,834,41,734,460,781,24,3186,78,33,3297
DE LOS RIOS,RANCO,LA UNION,ESCUELA RADIMADI,22,405,695,40,720,648,1080,36,3646,77,47,3770
DE LOS RIOS,RANCO,LA UNION,ESCUELA RURAL CHOROICO,4,78,196,5,114,85,194,7,683,26,9,718
DE LOS RIOS,RANCO,LA UNION,ESCUELA RURAL LOS ESTEROS,3,117,288,11,252,208,400,13,1292,27,20,1339
DE LOS RIOS,RANCO,LA UNION,ESCUELA RURAL MASHUE,8,66,259,6,155,145,293,15,947,26,8,981
DE LOS RIOS,RANCO,LA UNION,ESCUELA RURAL PUERTO NUEVO,7,135,248,7,214,251,548,10,1420,20,18,1458
DE LOS RIOS,RANCO,LA UNION,LICEO BICENTENARIO INGENIERO RICARDO FENNER RUEDI,5,120,281,9,266,250,402,12,1345,45,17,1407
DE LOS RIOS,RANCO,LA UNION,LICEO RECTOR ABDON ANDRADE COLOMA,19,460,737,41,777,790,1206,36,4066,90,46,4202
DE LOS RIOS,RANCO,LAGO RANCO,COMPLEJO EDUCACIONAL IGNAO,8,223,356,9,291,273,558,30,1748,52,24,1824
DE LOS RIOS,RANCO,LAGO RANCO,ESCUELA PARTICULAR RUPUMEICA BAJO,0,7,39,0,24,24,91,1,186,9,6,201
DE LOS RIOS,RANCO,LAGO RANCO,ESCUELA RURAL CALCURRUPE,2,29,65,3,128,85,185,14,511,19,9,539
DE LOS RIOS,RANCO,LAGO RANCO,ESCUELA RURAL RIÑINAHUE,8,118,325,14,237,360,871,19,1952,43,27,2022
DE LOS RIOS,RANCO,LAGO RANCO,LICEO ANTONIO VARAS L1,20,242,413,35,567,417,718,31,2443,90,34,2567
DE LOS RIOS,RANCO,LAGO RANCO,LICEO ANTONIO VARAS L2,8,234,315,8,430,333,618,23,1969,80,26,2075
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,16,328,548,24,562,519,844,31,2872,89,29,2990
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA BASICA RIO BUENO,20,363,722,41,869,616,1000,35,3666,97,35,3798
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA PAMPA RIOS,25,291,640,18,616,509,856,28,2983,77,34,3094
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA RURAL CARIMALLIN BAJO,3,58,100,5,82,111,191,16,566,10,6,582
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA RURAL COLONIA DIUMEN,10,133,293,11,204,237,388,11,1287,33,22,1342
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA RURAL CRUCERO,28,400,979,28,615,872,1411,59,4392,97,58,4547
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA RURAL VALLE MANTILHUE BAJO,8,160,360,16,376,319,540,27,1806,37,17,1860
DE LOS RIOS,RANCO,RIO BUENO,ESCUELA RURAL VIVANCO,1,90,174,9,122,158,264,13,831,11,9,851
DE LOS RIOS,RANCO,RIO BUENO,LICEO TECNICO PROFESIONAL RIO BUENO,30,363,1197,46,857,700,1331,27,4551,122,52,4725
DE LOS RIOS,RANCO,RIO BUENO,LICEO VICENTE PEREZ ROSALES,10,308,548,32,505,529,791,18,2741,76,23,2840
DE LOS RIOS,VALDIVIA,CORRAL,ESCUELA BASICA DE CORRAL,12,216,607,27,856,486,705,32,2941,95,23,3059
DE LOS RIOS,VALDIVIA,CORRAL,ESCUELA RURAL CARBONEROS,1,30,94,10,116,57,87,1,396,15,7,418
DE LOS RIOS,VALDIVIA,CORRAL,ESCUELA RURAL CHAIHUIN,1,42,83,0,129,52,72,14,393,4,8,405
DE LOS RIOS,VALDIVIA,CORRAL,ESCUELA RURAL LA AGUADA,1,31,168,6,152,116,193,6,673,22,12,707
DE LOS RIOS,VALDIVIA,LANCO,COLEGIO BERNARDO FELMER NIKLITSCHEK,15,177,925,22,770,425,797,29,3160,83,41,3284
DE LOS RIOS,VALDIVIA,LANCO,ESCUELA FELIPE BARTHOU,15,196,536,23,662,428,729,22,2611,82,34,2727
DE LOS RIOS,VALDIVIA,LANCO,ESCUELA PARTICULAR RURAL JUAN PABLO II,7,85,233,8,286,191,341,14,1165,26,9,1200
DE LOS RIOS,VALDIVIA,LANCO,LICEO POLIVALENTE CAMILO HENRIQUEZ G.,21,278,505,22,716,540,817,29,2928,83,34,3045
DE LOS RIOS,VALDIVIA,LANCO,LICEO REPUBLICA DEL BRASIL,23,269,977,28,887,632,1148,50,4014,133,52,4199
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA NEVADA,6,137,438,15,303,259,591,19,1768,40,23,1831
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA NUEVA COLLILELFU,11,217,799,26,576,427,866,17,2939,63,30,3032
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA NUEVA ESPAÑA,23,349,870,37,821,632,1187,32,3951,105,47,4103
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA RURAL ANTILHUE,6,83,282,10,213,173,318,19,1104,27,10,1141
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA RURAL EL SALTO,5,104,270,7,254,281,499,15,1435,28,27,1490
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA RURAL ENRIQUE HEVIA LABBE,4,80,153,1,125,138,312,13,826,27,14,867
DE LOS RIOS,VALDIVIA,LOS LAGOS,ESCUELA RURAL FOLILCO,4,81,294,5,161,219,415,18,1197,18,23,1238
DE LOS RIOS,VALDIVIA,LOS LAGOS,LICEO ALBERTO BLEST GANA,21,267,599,26,628,504,879,31,2955,72,33,3060
DE LOS RIOS,VALDIVIA,MAFIL,ESCUELA RURAL RUNCA,1,47,132,2,115,120,186,3,606,6,8,620
