adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA CHILENA,ANTARTICA,GIMNASIO VILLA LAS ESTRELLAS,0,4,10,1,7,20,35,0,77,0,0,77
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA CHILENA,CABO DE HORNOS(EX-NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,4,90,130,19,233,201,384,6,1067,18,9,1094
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,2,54,73,5,122,119,130,7,512,7,11,530
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,C.P. DE PUNTA ARENAS,0,1,4,0,0,5,13,0,23,0,0,23
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,CENTRO ELIGE VIVIR SANO,6,229,166,28,497,316,319,24,1585,36,17,1638
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA ARTURO PRAT CHACON,11,267,338,36,838,365,504,43,2402,80,33,2515
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA BERNARDO O´HIGGINS,16,209,187,27,549,283,309,25,1605,50,16,1671
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA CROACIA,10,302,338,53,790,497,543,46,2579,88,42,2709
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA DE PUERTO HARRIS,0,3,13,0,4,23,56,0,99,1,0,100
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA DIECIOCHO DE SEPTIEMBRE,50,523,1182,73,2024,1099,1177,143,6271,290,123,6684
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA ELBA OJEDA GOMEZ,6,136,294,20,284,354,529,21,1644,42,13,1699
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA ESPAÑA,38,603,821,93,1632,1005,1286,91,5569,215,59,5843
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA GENERAL MANUEL BULNES,22,381,1334,70,1310,725,1074,106,5022,211,69,5302
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA HERNANDO DE MAGALLANES,34,403,971,67,1477,745,999,123,4819,196,93,5108
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA JUAN BAUTISTA CONTARDI,21,421,263,56,807,545,647,36,2796,111,26,2933
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA JUAN WILLIAMS,26,521,653,85,1462,743,976,92,4558,159,56,4773
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA PADRE ALBERTO HURTADO,26,354,1125,57,1240,733,1119,92,4746,163,82,4991
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA PARTICULAR LA MILAGROSA,19,299,729,48,990,579,815,64,3543,169,58,3770
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA PATAGONIA,13,233,393,45,769,395,445,35,2328,94,32,2454
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA PEDRO PABLO LEMAITRE,24,374,464,68,941,479,658,61,3069,101,42,3212
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA PEDRO SARMIENTO DE GAMBOA,1,108,80,11,143,164,242,8,757,36,11,804
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA PORTUGAL,3,181,146,26,343,256,301,26,1282,35,19,1336
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA REPUBLICA ARGENTINA,33,392,920,70,1291,725,1095,97,4623,188,73,4884
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,ESCUELA VILLA LAS NIEVES,23,396,432,49,695,709,994,49,3347,84,33,3464
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,GIMNASIO COMPLEJO 18 DE SEPTIEMBRE,6,120,178,15,341,175,227,20,1082,44,18,1144
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,INSTITUTO DON BOSCO,7,176,112,21,398,231,271,24,1240,47,26,1313
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,INSTITUTO SUPERIOR DE COMERCIO,4,153,98,15,264,208,269,19,1030,26,17,1073
DE MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,LICEO ADVENTISTA,18,372,412,37,815,498,674,48,2874,95,37,3006
