adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE TARAPACA,DEL TAMARUGAL,CAMIÑA,ESCUELA CAMIÑA,0,48,729,0,122,179,608,6,1692,29,9,1730
DE TARAPACA,DEL TAMARUGAL,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,2,12,695,3,25,81,387,8,1213,5,5,1223
DE TARAPACA,DEL TAMARUGAL,HUARA,ESCUELA BASICA FRONTERIZA,4,36,224,1,102,80,185,7,639,14,6,659
DE TARAPACA,DEL TAMARUGAL,HUARA,ESCUELA CHIAPA,0,3,44,0,12,12,37,0,108,2,0,110
DE TARAPACA,DEL TAMARUGAL,HUARA,ESCUELA DE SIBAYA,1,11,97,0,63,38,54,6,270,4,2,276
DE TARAPACA,DEL TAMARUGAL,HUARA,ESCUELA PISAGUA,0,12,64,4,33,28,47,3,191,11,3,205
DE TARAPACA,DEL TAMARUGAL,HUARA,LICEO DE HUARA,5,69,549,9,237,195,362,12,1438,24,14,1476
DE TARAPACA,DEL TAMARUGAL,PICA,ESC. MATILLA DE NUEVA EXTREMADURA,2,44,246,7,134,93,130,14,670,13,5,688
DE TARAPACA,DEL TAMARUGAL,PICA,ESCUELA SAN ANDRES DE PICA,9,82,609,12,390,274,375,19,1770,32,15,1817
DE TARAPACA,DEL TAMARUGAL,PICA,LICEO BICENTENARIO PADRE ALBERTO HURTADO CRUCHAGA,10,172,843,18,607,467,499,26,2642,62,24,2728
DE TARAPACA,DEL TAMARUGAL,POZO ALMONTE,ESCUELA BASICA ESTRELLA DEL SUR,10,98,1102,11,347,326,487,42,2423,72,20,2515
DE TARAPACA,DEL TAMARUGAL,POZO ALMONTE,ESCUELA BASICA HUATACONDO,0,7,23,0,10,9,19,0,68,2,0,70
DE TARAPACA,DEL TAMARUGAL,POZO ALMONTE,ESCUELA BASICA LA TIRANA,8,157,624,20,596,348,349,26,2128,43,39,2210
DE TARAPACA,DEL TAMARUGAL,POZO ALMONTE,ESCUELA BASICA MAMINA,1,9,109,2,62,39,35,4,261,10,3,274
DE TARAPACA,DEL TAMARUGAL,POZO ALMONTE,ESCUELA BASICA POZO ALMONTE,6,86,1033,12,373,305,461,24,2300,40,30,2370
DE TARAPACA,DEL TAMARUGAL,POZO ALMONTE,LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ,15,85,1146,16,356,327,611,18,2574,40,26,2640
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,80,155,1526,18,610,457,667,33,3546,91,45,3682
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,C.P. ALTO HOSPICIO,0,3,9,1,5,4,32,0,54,2,1,57
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO CATOLICO NAZARET,19,195,2007,42,670,549,869,49,4400,105,50,4555
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO MACAYA,15,103,1004,23,368,283,476,25,2297,44,15,2356
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO MARAN-ATHA,6,124,1087,23,370,274,513,25,2422,59,42,2523
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO MARISTA HERMANO FERNANDO,7,164,1783,30,579,470,650,50,3733,89,54,3876
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO METODISTA WILLIAM TAYLOR,23,211,2180,33,838,523,910,64,4782,142,46,4970
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO RUPANIC SCHOOL,28,224,2220,52,794,584,1017,59,4978,123,51,5152
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO SAGRADO CORAZON DE JESUS,17,152,1482,32,560,426,664,23,3356,79,23,3458
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO SALESIANO SANTO DOMINGO SAVIO,16,211,1800,31,722,499,813,52,4144,120,45,4309
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO SAN ANTONIO DE MATILLA,13,163,1170,26,595,370,580,38,2955,76,28,3059
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO SAN PEDRO,15,148,895,35,494,402,706,20,2715,60,18,2793
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,COLEGIO SIMON BOLIVAR,16,191,1701,39,652,570,850,39,4058,91,35,4184
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,LICEO ACADEMIA NACIONAL,26,192,1670,33,873,580,842,40,4256,168,36,4460
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,LICEO BICENTENARIO COLEGIO NIRVANA,16,218,2162,32,673,567,975,53,4696,144,52,4892
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,LICEO LOS CONDORES,9,137,1011,20,495,364,512,24,2572,83,29,2684
DE TARAPACA,IQUIQUE,ALTO HOSPICIO,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,21,173,1354,34,672,448,668,33,3403,84,29,3516
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO ANTAMARA,27,356,1310,76,1307,699,1021,54,4850,122,37,5009
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO BAJO MOLLE,12,314,521,49,648,455,923,25,2947,51,21,3019
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO ESPAÑA,11,231,803,39,740,437,609,38,2908,59,36,3003
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO HUANTAJAYA,18,230,1152,48,871,473,744,39,3575,102,45,3722
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO INGLES,10,220,361,31,516,381,465,12,1996,54,28,2078
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO MAHATMA GANDHI,16,213,376,41,530,381,645,17,2219,47,11,2277
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO REPUBLICA DE CROACIA,21,311,1707,52,1275,753,924,64,5107,136,74,5317
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO REPUBLICA DE ITALIA,30,297,1508,63,1256,700,952,60,4866,139,47,5052
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO SALESIANO DON BOSCO IQUIQUE,16,254,601,46,695,465,749,21,2847,39,13,2899
DE TARAPACA,IQUIQUE,IQUIQUE,COLEGIO SAN MARTIN,21,190,952,34,715,396,590,34,2932,82,47,3061
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA ALMIRANTE PATRICIO LYNCH,33,409,1825,63,1516,903,1303,76,6128,175,72,6375
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA ARTISTICA VIOLETA PARRA,17,224,792,32,723,389,518,40,2735,66,38,2839
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA BASICA DE CHANAVAYITA,4,47,342,4,197,117,105,10,826,27,13,866
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA BASICA FRANCISCO FORGIONE,4,156,394,19,447,304,456,15,1795,50,22,1867
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA CENTENARIO,17,289,878,40,973,543,803,60,3603,121,63,3787
DE TARAPACA,IQUIQUE,IQUIQUE,ESCUELA CHIPANA,30,413,1216,66,1246,733,1125,102,4931,112,32,5075
