adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE ÑUBLE,DIGUILLIN,BULNES,ESCUELA BASICA EDUARDO FREI MONTALVA,18,291,709,21,535,514,920,34,3042,80,52,3174
DE ÑUBLE,DIGUILLIN,BULNES,ESCUELA EL PALPAL DE SANTA CLARA,21,253,751,21,452,459,1122,34,3113,89,57,3259
DE ÑUBLE,DIGUILLIN,BULNES,ESCUELA EVARISTA OGALDE ORTEGA,13,217,570,8,387,380,966,43,2584,54,62,2700
DE ÑUBLE,DIGUILLIN,BULNES,LICEO BICENTENARIO SANTA CRUZ DE LARQUI,20,567,1079,40,956,773,1592,53,5080,122,59,5261
DE ÑUBLE,DIGUILLIN,BULNES,LICEO MANUEL BULNES,15,493,926,27,930,625,1400,51,4467,140,85,4692
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO CONCEPCION DE CHILLAN L1,19,878,501,98,1033,741,1513,38,4821,87,33,4941
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO CONCEPCION DE CHILLAN L2,17,885,459,78,977,676,1291,36,4419,51,31,4501
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO COYAM,41,522,1115,62,1250,835,1394,52,5271,152,61,5484
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO DE LA PURISIMA CONCEPCION,37,600,530,62,1050,642,1012,37,3970,85,32,4087
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO EVANGELICO BETANIA,12,244,1184,33,761,514,955,52,3755,100,56,3911
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO HISPANO AMERICANO,8,297,206,29,552,353,571,13,2029,42,22,2093
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO HISPANO AMERICANO RIO VIEJO,39,516,1741,59,1123,926,1770,56,6230,185,74,6489
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO PARROQUIAL SAN JOSE,32,397,2048,53,1191,743,1460,79,6003,217,46,6266
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO SAGRADO CORAZON DE JESUS,13,238,361,25,491,255,462,20,1865,61,23,1949
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO SAN BUENAVENTURA,13,396,254,33,702,422,630,22,2472,82,14,2568
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO SAN VICENTE DE PAUL,24,528,477,42,844,693,954,35,3597,84,36,3717
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO SEBASTIAN SCHOOL,38,696,1139,98,1554,1030,1568,47,6170,147,48,6365
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO SEMINARIO PADRE ALBERTO HURTADO,53,1363,1106,126,1947,1155,2323,52,8125,151,61,8337
DE ÑUBLE,DIGUILLIN,CHILLAN,COLEGIO SYDNEY COLLEGE,54,723,1441,145,1832,1239,2414,56,7904,171,46,8121
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA ARTURO MERINO BENITEZ,26,473,457,31,878,501,813,27,3206,90,40,3336
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA ARTURO MUTIZABAL SOTOMAYOR,28,335,1013,35,857,559,1044,38,3909,117,40,4066
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA BASICA CAPILLA COX,13,194,626,24,346,428,1003,39,2673,54,42,2769
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA BASICA EL TEJAR,15,248,423,24,665,345,557,25,2302,65,19,2386
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA BASICA JOSE MARIA CARO RODRIGUEZ,16,314,197,34,606,344,467,11,1989,29,21,2039
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA BASICA LA CASTILLA,17,324,1526,26,906,536,1141,63,4539,155,65,4759
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA BASICA QUINCHAMALI,17,287,566,25,487,394,912,37,2725,59,48,2832
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA ESPECIAL DE LENGUAJE Y ESCUELA BASICA MY COLLEGE,26,487,888,55,699,892,1637,38,4722,90,47,4859
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA EVANGELICA BETH-EL,11,165,922,18,494,349,754,31,2744,62,31,2837
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA GABRIELA MISTRAL,19,345,726,36,895,510,762,39,3332,120,36,3488
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA LAS CANOAS,16,289,351,27,499,370,600,25,2177,55,21,2253
DE ÑUBLE,DIGUILLIN,CHILLAN,ESCUELA MARIA AMALIA SAAVEDRA MARTINEZ,22,374,1114,38,995,675,1301,55,4574,141,61,4776
