adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DE VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,COLEGIO CATOLICO HERMANO EUGENIO EYRAUD L1,19,384,277,52,814,408,348,56,2358,141,67,2566
DE VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,COLEGIO CATOLICO HERMANO EUGENIO EYRAUD L2,16,371,302,48,682,353,332,64,2168,133,82,2383
DE VALPARAISO,LOS ANDES,CALLE LARGA,COLEGIO SAN JOSE,16,335,895,41,798,439,736,55,3315,68,45,3428
DE VALPARAISO,LOS ANDES,CALLE LARGA,ESCUELA BASICA CRISTO REDENTOR,6,148,547,7,400,252,399,28,1787,50,27,1864
DE VALPARAISO,LOS ANDES,CALLE LARGA,ESCUELA BASICA LA PAMPILLA,22,293,1292,43,1072,523,866,43,4154,111,47,4312
DE VALPARAISO,LOS ANDES,CALLE LARGA,POLIDEPORTIVO MUNICIPAL CALLE LARGA,11,210,436,17,449,217,391,28,1759,38,12,1809
DE VALPARAISO,LOS ANDES,LOS ANDES,ESCUELA BASICA RIO BLANCO,4,67,244,10,170,124,212,10,841,23,8,872
DE VALPARAISO,LOS ANDES,LOS ANDES,ESCUELA ESPAÑA,21,577,807,58,1124,620,873,50,4130,120,23,4273
DE VALPARAISO,LOS ANDES,LOS ANDES,INSTITUTO CHACABUCO,23,436,1663,54,1147,651,976,62,5012,127,41,5180
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO BICENTENARIO TECNICO AMANCAY DE LOS ANDES,17,468,1008,44,952,597,767,63,3916,119,35,4070
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO COMERCIAL DE LOS ANDES L1,13,499,954,84,1360,609,866,41,4426,119,49,4594
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO COMERCIAL DE LOS ANDES L2,23,533,956,70,1326,573,856,39,4376,131,32,4539
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO MAXIMILIANO SALAS MARCHAN L1,18,370,810,30,974,482,678,60,3422,113,35,3570
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO MAXIMILIANO SALAS MARCHAN L2,24,309,729,36,767,413,569,51,2898,82,37,3017
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO PARTICULAR MIXTO LOS ANDES L1,29,380,910,41,928,455,646,58,3447,88,29,3564
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO PARTICULAR MIXTO LOS ANDES L2,20,320,804,48,754,370,571,40,2927,70,25,3022
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO POLITECNICO AMERICA,20,485,870,55,1039,564,810,43,3886,126,31,4043
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO REPUBLICA ARGENTINA,13,597,686,60,1051,587,934,40,3968,90,23,4081
DE VALPARAISO,LOS ANDES,LOS ANDES,LICEO SANTA CLARA (SEDE BRASIL),23,570,930,80,1313,626,891,39,4472,153,36,4661
DE VALPARAISO,LOS ANDES,RINCONADA,CENTRO DE FORMACION ACADEMICA PERFECTO DE LA FUENTE DEL VIL,11,266,610,29,601,342,514,40,2413,38,32,2483
DE VALPARAISO,LOS ANDES,RINCONADA,GIMNASIO MUNICIPAL,3,218,430,19,505,333,522,16,2046,43,27,2116
DE VALPARAISO,LOS ANDES,RINCONADA,LICEO PARROQUIAL TERESITA DE LOS ANDES,21,458,1414,38,1164,683,1135,54,4967,92,53,5112
DE VALPARAISO,LOS ANDES,SAN ESTEBAN,ESCUELA BASICA MIXTA LO CALVO,6,136,638,28,499,193,400,23,1923,49,28,2000
DE VALPARAISO,LOS ANDES,SAN ESTEBAN,ESCUELA BASICA SILVIO ZENTENO VERGARA,17,409,802,43,886,414,737,26,3334,76,26,3436
DE VALPARAISO,LOS ANDES,SAN ESTEBAN,ESCUELA PABLO NERUDA,14,382,1148,37,809,547,883,40,3860,92,36,3988
DE VALPARAISO,LOS ANDES,SAN ESTEBAN,ESCUELA RIO COLORADO,2,77,222,3,189,88,98,8,687,19,10,716
DE VALPARAISO,LOS ANDES,SAN ESTEBAN,LICEO SAN ESTEBAN,31,487,1429,63,1042,696,1104,47,4899,112,69,5080
DE VALPARAISO,MARGA MARGA,LIMACHE,COLEGIO BRASILIA L1,26,413,493,32,936,600,674,38,3212,115,22,3349
DE VALPARAISO,MARGA MARGA,LIMACHE,COLEGIO BRASILIA L2,19,394,495,41,780,484,645,43,2901,95,30,3026
DE VALPARAISO,MARGA MARGA,LIMACHE,ESCUELA BASICA HEROES DE CHILE L1,22,315,839,41,789,586,755,41,3388,136,42,3566
DE VALPARAISO,MARGA MARGA,LIMACHE,ESCUELA BASICA HEROES DE CHILE L2,14,301,776,35,753,559,656,34,3128,118,40,3286
DE VALPARAISO,MARGA MARGA,LIMACHE,ESCUELA BASICA LOS MAITENES,8,296,590,24,556,382,486,33,2375,104,56,2535
DE VALPARAISO,MARGA MARGA,LIMACHE,ESCUELA BASICA SUPERIOR MIXTA Nº 88 L1,21,288,513,28,806,429,613,29,2727,94,24,2845
DE VALPARAISO,MARGA MARGA,LIMACHE,ESCUELA BASICA SUPERIOR MIXTA Nº 88 L2,14,245,447,32,711,424,507,33,2413,67,41,2521
