adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DEL BIOBIO,ARAUCO,ARAUCO,ESCUELA BASICA BRISAS DEL MAR,9,60,458,1,135,174,570,9,1416,30,25,1471
DEL BIOBIO,ARAUCO,ARAUCO,ESCUELA BASICA MARE NOSTRUM,26,449,957,53,889,462,1200,31,4067,113,39,4219
DEL BIOBIO,ARAUCO,ARAUCO,ESCUELA BASICA SAN PEDRO DE LARAQUETE,9,214,1305,28,793,457,995,38,3839,93,43,3975
DEL BIOBIO,ARAUCO,ARAUCO,ESCUELA BASICA VICENTE MILLAN IRIARTE,14,173,617,19,464,216,588,26,2117,76,23,2216
DEL BIOBIO,ARAUCO,ARAUCO,ESCUELA EDELMIRA VERGARA QUIÑONES,13,223,980,17,562,364,944,33,3136,76,51,3263
DEL BIOBIO,ARAUCO,ARAUCO,ESCUELA VALLE RAMADILLAS,9,68,357,6,146,153,338,14,1091,34,21,1146
DEL BIOBIO,ARAUCO,ARAUCO,LICEO BICENTENARIO SAN FELIPE DE ARAUCO,26,340,1088,22,874,437,1121,40,3948,110,32,4090
DEL BIOBIO,ARAUCO,ARAUCO,LICEO POLITECNICO CARAMPANGUE,20,302,1231,29,867,518,1639,54,4660,112,63,4835
DEL BIOBIO,ARAUCO,ARAUCO,LICEO SAN FRANCISCO DE ASIS,15,257,681,15,574,299,780,33,2654,66,34,2754
DEL BIOBIO,ARAUCO,ARAUCO,LICEO TECNICO FILIDOR GAETE MONSALVEZ,8,75,398,10,204,183,486,19,1383,26,28,1437
DEL BIOBIO,ARAUCO,CAÑETE,ESCUELA ARTURO PRAT CHACON,58,447,1818,46,1422,833,2737,96,7457,219,88,7764
DEL BIOBIO,ARAUCO,CAÑETE,ESCUELA BASICA RENE ANDRADES TOLEDO,19,159,777,18,483,370,1006,33,2865,99,24,2988
DEL BIOBIO,ARAUCO,CAÑETE,ESCUELA LEONCIO ARANEDA FIGUEROA,32,441,1215,37,1085,719,2030,70,5629,155,61,5845
DEL BIOBIO,ARAUCO,CAÑETE,LICEO GABRIELA MISTRAL,27,394,1347,42,1066,872,2328,72,6148,197,85,6430
DEL BIOBIO,ARAUCO,CAÑETE,LICEO HUMANISTA CIENTIFICO JOSE DE LA CRUZ MIRANDA CORREA,25,309,733,20,638,520,1385,40,3670,106,28,3804
DEL BIOBIO,ARAUCO,CONTULMO,ESCUELA SAN LUIS DE CONTULMO,15,172,484,20,532,341,1226,17,2807,56,35,2898
DEL BIOBIO,ARAUCO,CONTULMO,LICEO POLIVALENTE NAHUELBUTA,11,96,485,10,374,268,884,22,2150,40,17,2207
DEL BIOBIO,ARAUCO,CURANILAHUE,ESCUELA 04 DE OCTUBRE,4,117,521,9,512,274,608,24,2069,70,18,2157
