adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,CODEGUA,COLEGIO JESUS ANDINO,34,625,1937,73,1567,895,1773,100,7004,181,75,7260
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,CODEGUA,LICEO MUNICIPAL DE CODEGUA,17,385,1041,30,991,528,917,69,3978,147,62,4187
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COINCO,ESCUELA MUNICIPAL COPEQUEN,9,200,422,26,591,320,496,26,2090,83,28,2201
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COINCO,LICEO MUNICIPAL LUIS GREGORIO VALENZUELA LAVIN,20,534,883,63,1020,701,1400,59,4680,144,72,4896
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COLTAUCO,COLEGIO NUESTRA SEÑORA DE LORETO,21,474,1702,48,1264,727,1597,63,5896,153,86,6135
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COLTAUCO,ESCUELA MUNICIPAL OSVALDO RUIZ GARCIA,17,536,959,54,936,719,1376,53,4650,130,63,4843
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COLTAUCO,LICEO BERTA ZAMORANO LIZANA,20,547,1260,51,1275,769,1375,63,5360,166,69,5595
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,DOÑIHUE,COLEGIO REPUBLICA DE CHILE,17,341,1157,47,1048,554,979,63,4206,141,38,4385
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,DOÑIHUE,ESCUELA LAURA MATUS MELENDEZ,26,483,885,46,1164,580,1155,57,4396,117,48,4561
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,DOÑIHUE,ESCUELA LO MIRANDA,13,393,1178,57,1079,554,966,53,4293,163,69,4525
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,DOÑIHUE,LICEO CLAUDIO ARRAU,30,515,961,69,1148,644,1135,37,4539,131,55,4725
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,GRANEROS,ESCUELA ANTONIO TREDAN ARKO,42,470,2070,77,1735,879,1610,98,6981,173,62,7216
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,GRANEROS,ESCUELA HERNAN OLGUIN MAYBE,29,404,1056,43,1195,674,932,50,4383,96,59,4538
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,GRANEROS,ESCUELA SIXTO MENDEZ PARADA,34,747,1768,73,2076,1020,1674,97,7489,201,74,7764
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,GRANEROS,LICEO MUNICIPAL MISAEL LOBOS MONROY,31,715,1405,62,1723,971,1569,84,6560,181,75,6816
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,LAS CABRAS,ESCUELA CONTRAMAESTRE CONSTANTINO MICALVI,30,727,1445,48,1507,1223,2414,93,7487,169,110,7766
