adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
DEL MAULE,CAUQUENES,CAUQUENES,COLEGIO BLANCO ENCALADA,16,383,572,27,719,645,1279,31,3672,113,39,3824
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA ADOLFO QUIROZ HERNANDEZ,5,58,169,11,101,187,298,11,840,18,3,861
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA ANIBAL PINTO,12,274,494,18,450,520,1150,29,2947,79,41,3067
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA ARTISTICA BARRIO ESTACION,15,266,875,10,467,554,1360,35,3582,126,49,3757
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA CLORINDO ALVEAR,5,61,136,6,149,151,313,15,836,31,11,878
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA LOS CONQUISTADORES,6,145,346,15,263,307,753,21,1856,29,31,1916
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA OCTAVIO PALMA PEREZ,2,51,91,2,80,148,334,6,714,6,7,727
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA PORONGO,16,306,1039,24,649,675,1960,42,4711,94,67,4872
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA PURISIMA CONCEPCION DE POCILLAS,4,67,130,2,77,164,464,16,924,22,19,965
DEL MAULE,CAUQUENES,CAUQUENES,ESCUELA ROSITA OHIGGINS,8,226,784,25,447,518,1171,29,3208,75,37,3320
DEL MAULE,CAUQUENES,CAUQUENES,LICEO ANTONIO VARAS,2,178,170,17,218,241,462,9,1297,26,10,1333
