adm_region,adm_provincia,adm_comuna,adm_local,EDUARDO ANTONIO ARTES BRICHETTI,EVELYN MATTHEI FORNET,FRANCO PARISI FERNANDEZ,HAROLD MAYNE-NICHOLLS SECUL,JEANNETTE JARA ROMAN,JOHANNES KAISER BARENTS-VON HOHENHAGEN,JOSE ANTONIO KAST RIST,MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,validamente_emitidos,votos_nulos,votos_blancos,total_votacion
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,C.C.P. COLINA,0,1,9,0,1,7,13,0,31,1,1,33
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,COLEGIO SAN JOSE DE CHICUREO L1,8,1742,64,26,214,663,2287,8,5012,20,11,5043
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,COLEGIO SAN JOSE DE CHICUREO L2,6,1716,70,31,265,596,2287,8,4979,27,7,5013
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA ALGARROBAL,17,1290,572,84,634,896,2164,38,5695,76,49,5820
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA ANDALIEN DE COLINA,21,698,737,53,844,667,1401,62,4483,89,41,4613
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA DE LENGUAJE CAMINA ALTO,42,462,1744,62,1163,731,1465,69,5738,134,73,5945
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA ERNESTO SOTO NEGRETE,19,295,857,37,742,471,887,50,3358,84,60,3502
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA FRANCISCO PETRINOVIC KARLOVAC,11,288,406,24,450,428,775,20,2402,46,19,2467
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA MARCOS GOYCOOLEA CORTES,19,621,955,72,1200,704,1544,62,5177,129,52,5358
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA PREMIO NOBEL PABLO NERUDA,24,531,1494,48,1382,805,1541,76,5901,164,58,6123
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA SAN FRANCISCO DE ASIS,12,449,191,21,248,319,811,12,2063,22,15,2100
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA SAN VICENTE DE LO ARCAYA,5,1249,279,45,498,755,1999,27,4857,55,28,4940
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA SANTA MARTA DE LIRAY,15,931,506,55,532,591,1305,28,3963,64,32,4059
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,ESCUELA SANTA TERESA DEL CARMELO,56,765,1890,82,1700,1153,2164,116,7926,236,132,8294
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,LICEO BICENTENARIO CHACABUCO,35,879,1254,78,1355,951,1928,60,6540,160,62,6762
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,LICEO BICENTENARIO SANTA TERESA DE LOS ANDES,15,789,558,39,615,613,1287,29,3945,62,26,4033
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,LICEO ESMERALDA,26,666,1360,64,1305,845,1781,54,6101,183,57,6341
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,LICEO PELDEHUE,13,733,420,56,560,706,1440,25,3953,43,32,4028
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,LICEO POLIVALENTE RIGOBERTO FONTT IZQUIERDO,55,674,2185,102,1910,1007,2041,96,8070,275,67,8412
METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,LYCEE ANTOINE DE SAINT EXUPERY,9,2077,78,56,343,900,2307,16,5786,43,21,5850
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,COLEGIO PUMAHUE CHICAUMA,11,581,123,39,370,250,605,11,1990,27,14,2031
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,COLEGIO SOL DEL VALLE,31,924,869,99,1608,756,1425,61,5773,98,16,5887
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,COMPLEJO EDUCACIONAL MANUEL PLAZA REYES,37,628,1554,51,1447,916,1540,91,6264,171,68,6503
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA CACIQUE COLIN,20,372,711,33,767,425,878,52,3258,69,37,3364
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA EMPRENDER LARAPINTA,42,855,1546,128,2101,1165,1866,99,7802,178,57,8037
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA MANUEL SEGOVIA MONTENEGRO,34,707,1677,74,1656,1031,1672,108,6959,187,96,7242
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA NORMA GONZALEZ GUERRA,19,417,1102,54,839,722,1371,71,4595,88,42,4725
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA POLONIA GUTIERREZ L1,20,374,1254,38,969,648,1075,56,4434,118,40,4592
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA POLONIA GUTIERREZ L2,20,383,1266,44,985,589,1069,56,4412,149,48,4609
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA REPUBLICA DE POLONIA,29,456,1096,50,1153,591,1070,52,4497,169,48,4714
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA SAN PEDRO VALLE GRANDE,29,959,839,100,1633,740,1486,67,5853,104,32,5989
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,ESCUELA SANTA SARA,11,424,419,43,623,510,785,23,2838,58,26,2922
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,LICEO DE BATUCO L1,31,363,1292,32,1096,599,923,74,4410,112,63,4585
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,LICEO DE BATUCO L2,25,402,1179,40,971,525,846,62,4050,128,49,4227
METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,LICEO SAINT ANDREWS COLLEGE,9,292,457,27,490,327,606,18,2226,56,24,2306
METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,COLEGIO SAINT LOUIS SCHOOL,11,210,112,18,218,196,347,7,1119,23,5,1147
METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,ESCUELA BASICA G-N°352 PLAZUELA DE POLPAICO,3,118,371,14,319,264,359,21,1469,33,12,1514
METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,ESCUELA G-N°345 RUNGUE,7,120,447,10,479,328,417,23,1831,30,17,1878
METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,LICEO HUERTOS FAMILIARES,21,376,1000,49,956,666,1040,39,4147,169,44,4360
METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,LICEO MANUEL RODRIGUEZ,26,440,1361,59,1497,810,1190,61,5444,147,58,5649
METROPOLITANA DE SANTIAGO,CORDILLERA,PIRQUE,COLEGIO COLONIAL DE PIRQUE,20,766,538,79,1313,699,1041,46,4502,119,51,4672
METROPOLITANA DE SANTIAGO,CORDILLERA,PIRQUE,ESCUELA G-N°646 LO ARCAYA,23,477,387,56,999,551,835,42,3370,89,25,3484
METROPOLITANA DE SANTIAGO,CORDILLERA,PIRQUE,LICEO EL PRINCIPAL,40,892,1249,84,2120,1004,1573,101,7063,178,84,7325
METROPOLITANA DE SANTIAGO,CORDILLERA,PIRQUE,LICEO TECNICO PROFESIONAL EL LLANO,37,1217,900,128,2023,1105,1867,77,7354,156,97,7607
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,C.D.P. DE PUENTE ALTO,0,2,6,2,17,0,5,1,33,2,2,37
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL FERNANDO DE ARAGON L1,39,582,993,70,1862,638,919,71,5174,187,48,5409
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL FERNANDO DE ARAGON L2,45,558,1006,81,1842,628,965,64,5189,148,57,5394
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL LARUN RAYUN,51,687,699,86,2126,640,909,79,5277,176,41,5494
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL NUEVA CREACION,30,415,683,49,1233,567,625,68,3670,148,43,3861
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL PRINCIPADO DE ASTURIAS,27,656,407,91,1646,614,829,62,4332,220,33,4585
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL SAN CARLOS DE ARAGON L1,62,656,842,92,2231,727,968,64,5642,181,42,5865
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CENTRO EDUCACIONAL SAN CARLOS DE ARAGON L2,44,578,887,107,2242,800,938,73,5669,170,39,5878
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,CHILEAN EAGLES COLLEGE LAS VIZCACHAS,35,1081,681,131,1828,793,1517,59,6125,137,31,6293
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO ACROPOLIS,47,607,743,100,1979,557,926,74,5033,150,34,5217
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO ALICANTE DEL SOL L1,80,1287,1000,152,3215,1061,1633,93,8521,246,68,8835
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO ALICANTE DEL SOL L2,87,1043,959,166,3111,966,1585,100,8017,198,58,8273
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO ALICANTE DEL VALLE,67,1303,1151,182,2934,946,2012,89,8684,204,44,8932
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO ALTAZOR,32,572,370,55,1233,501,709,31,3503,50,15,3568
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO CARDENAL RAUL SILVA HENRIQUEZ,73,912,1401,122,3014,970,1498,94,8084,229,47,8360
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO COMPAÑIA DE MARIA PUENTE ALTO,55,836,976,101,2655,849,1150,102,6724,197,56,6977
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EL RACO,56,663,1117,86,2494,725,1156,88,6385,247,42,6674
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EL SEMBRADOR,29,355,357,48,1126,349,472,37,2773,101,14,2888
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EL SEMBRADOR ANEXO 2 L1,45,630,693,109,1955,588,901,57,4978,146,27,5151
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EL SEMBRADOR ANEXO 2 L2,62,637,644,98,1801,635,808,54,4739,121,25,4885
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EMPRENDER OBISPO ALVEAR,35,490,677,71,1616,548,744,62,4243,113,27,4383
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EXTREMADURA DE PUENTE ALTO,48,779,991,106,2392,743,1259,69,6387,173,39,6599
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO EYZAGUIRRE MEDIA,51,470,1568,66,1740,642,983,105,5625,208,65,5898
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO MAIPO,49,492,602,66,1481,630,727,68,4115,167,59,4341
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO MANQUECURA PUENTE ALTO L1,46,943,364,124,1695,673,1180,54,5079,76,33,5188
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO MANQUECURA PUENTE ALTO L2,48,932,361,117,1653,642,1169,46,4968,104,37,5109
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO MERRYLAND,63,755,771,110,2406,752,964,72,5893,192,47,6132
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO MIRADOR,40,615,643,84,1781,572,928,61,4724,120,27,4871
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO NAVARRA,47,771,999,117,2447,759,1085,60,6285,173,55,6513
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO NUEVA ERA SIGLO XXI SEDE PUENTE ALTO,64,803,1031,103,2428,862,1227,106,6624,191,69,6884
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO NUEVO HORIZONTE DE PUENTE ALTO,75,878,1798,131,2740,949,1561,142,8274,301,92,8667
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO PADRE JOSE KENTENICH,56,673,1351,96,2321,708,1302,122,6629,247,77,6953
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO PARTICULAR POLITECNICO EYZAGUIRRE BASICA,43,336,1042,56,1408,486,714,71,4156,131,42,4329
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO PEDRO APOSTOL,33,498,1556,67,1877,744,1161,104,6040,231,59,6330
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO PROFESOR ILDEFONSO CALDERON,76,967,808,120,2829,1071,1529,79,7479,218,42,7739
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO QUITALMAHUE,36,397,1620,52,1425,538,1073,98,5239,176,60,5475
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO SAN GUILLERMO,69,584,2245,86,2238,835,1389,115,7561,266,89,7916
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO SAN MIGUEL DE LOS ANDES L1,52,628,543,77,1874,628,756,51,4609,159,28,4796
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO SAN MIGUEL DE LOS ANDES L2,30,602,507,74,1682,515,730,66,4206,130,27,4363
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO SANTA MARIA DE LA CORDILLERA,70,1040,1082,127,2776,1013,1558,87,7753,232,54,8039
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO SENDA DEL SABER,57,857,1734,134,2734,857,1584,115,8072,273,83,8428
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO TERRA ANDINA,36,413,876,58,1430,578,936,58,4385,167,32,4584
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,COLEGIO TUPAHUE,58,631,1096,111,2587,879,1110,115,6587,218,78,6883
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA ANDES DEL SUR,43,707,867,91,2195,639,933,72,5547,184,41,5772
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA CASAS VIEJAS,34,324,856,47,1273,553,783,52,3922,188,80,4190
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA CONSOLIDADA,33,451,792,55,1272,465,737,56,3861,124,41,4026
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA EJERCITO LIBERTADOR,51,664,1214,98,2392,731,1161,117,6428,225,57,6710
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA GABRIELA,64,558,853,111,1982,597,1233,58,5456,129,33,5618
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA LAS PALMAS,44,584,1892,79,1804,813,1372,112,6700,315,101,7116
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA LOS ANDES,50,717,882,92,2442,770,1074,95,6122,263,49,6434
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA LUIS MATTE LARRAIN,27,365,294,48,1175,346,485,41,2781,86,15,2882
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA NONATO COO,57,731,1008,83,2128,891,1162,94,6154,179,60,6393
METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ESCUELA OSCAR BONILLA,47,532,1494,51,1871,786,1114,113,6008,221,59,6288
